Index	Name	BuffType	EffectType	LifeType	LifeValue	LifeOverlayType	MaxOverLayNum	DisperseNum	DisappearType	AffectPriority	ShowIcon	AtlasId	SpriteName	EffectOnAdd	EffectSkeOnAdd	EffectPosOnAdd	EffectNumOnAdd	EffectOnAttach	EffectDelayOnAttach	EffectSkeOnAttach	EffectPosOnAttach	EffectNumOnAttach	EffectOnDisperse	EffectSkeOnDisperse	EffectNumOnDisperse	EffectOnRemove	EffectSkeOnRemove	EffectNumOnRemove
1001	神力	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
1002	巧劲	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
1003	体魄	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
1004	忍耐	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
1005	勇武	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
1006	护体	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
1007	统帅	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
1008	体魄	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
1009	勇武	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
1010	统帅	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
1011	守备	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
1012	护身	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
