Index	Level	BuffDiscription	ModelId	UColor	Usize	MagicAttrType_6_0	MagicAttrValue_6_0	MagicAttrType_6_1	MagicAttrValue_6_1	MagicAttrType_6_2	MagicAttrValue_6_2	MagicAttrType_6_3	MagicAttrValue_6_3	MagicAttrType_6_4	MagicAttrValue_6_4	MagicAttrType_6_5	MagicAttrValue_6_5
1001	1	武力值增加6点	0	0	1	3	6	0	0	0	0	0	0	0	0	0	0
1001	2	武力值增加18点	0	0	1	3	18	0	0	0	0	0	0	0	0	0	0
1001	3	武力值增加40点	0	0	1	3	40	0	0	0	0	0	0	0	0	0	0
1001	4	武力值增加75点	0	0	1	3	75	0	0	0	0	0	0	0	0	0	0
1001	5	武力值增加125点	0	0	1	3	125	0	0	0	0	0	0	0	0	0	0
1001	6	武力值增加200点	0	0	1	3	200	0	0	0	0	0	0	0	0	0	0
1001	7	武力值增加320点	0	0	1	3	320	0	0	0	0	0	0	0	0	0	0
1001	8	武力值增加480点	0	0	1	3	480	0	0	0	0	0	0	0	0	0	0
1001	9	武力值增加800点	0	0	1	3	800	0	0	0	0	0	0	0	0	0	0
1001	10	武力值增加1200点	0	0	1	3	1200	0	0	0	0	0	0	0	0	0	0
1002	1	反击伤害增加10%	0	0	1	78	1000	0	0	0	0	0	0	0	0	0	0
1002	2	反击伤害增加20%	0	0	1	78	2000	0	0	0	0	0	0	0	0	0	0
1002	3	反击伤害增加30%	0	0	1	78	3000	0	0	0	0	0	0	0	0	0	0
1002	4	反击伤害增加40%	0	0	1	78	4000	0	0	0	0	0	0	0	0	0	0
1002	5	反击伤害增加50%	0	0	1	78	5000	0	0	0	0	0	0	0	0	0	0
1002	6	反击伤害增加60%	0	0	1	78	6000	0	0	0	0	0	0	0	0	0	0
1002	7	反击伤害增加70%	0	0	1	78	7000	0	0	0	0	0	0	0	0	0	0
1002	8	反击伤害增加80%	0	0	1	78	8000	0	0	0	0	0	0	0	0	0	0
1002	9	反击伤害增加90%	0	0	1	78	9000	0	0	0	0	0	0	0	0	0	0
1002	10	反击伤害增加100%	0	0	1	78	10000	0	0	0	0	0	0	0	0	0	0
1003	1	生命值上限增加30点	0	0	1	41	30	0	0	0	0	0	0	0	0	0	0
1003	2	生命值上限增加90点	0	0	1	41	90	0	0	0	0	0	0	0	0	0	0
1003	3	生命值上限增加200点	0	0	1	41	200	0	0	0	0	0	0	0	0	0	0
1003	4	生命值上限增加375点	0	0	1	41	375	0	0	0	0	0	0	0	0	0	0
1003	5	生命值上限增加625点	0	0	1	41	625	0	0	0	0	0	0	0	0	0	0
1003	6	生命值上限增加1000点	0	0	1	41	1000	0	0	0	0	0	0	0	0	0	0
1003	7	生命值上限增加1600点	0	0	1	41	1600	0	0	0	0	0	0	0	0	0	0
1003	8	生命值上限增加2400点	0	0	1	41	2400	0	0	0	0	0	0	0	0	0	0
1003	9	生命值上限增加4000点	0	0	1	41	4000	0	0	0	0	0	0	0	0	0	0
1003	10	生命值上限增加6000点	0	0	1	41	6000	0	0	0	0	0	0	0	0	0	0
1004	1	受到攻击增加5点杀气	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1004	2	受到攻击增加9点杀气	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1004	3	受到攻击增加13点杀气	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1004	4	受到攻击增加17点杀气	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1004	5	受到攻击增加21点杀气	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1004	6	受到攻击增加25点杀气	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1004	7	受到攻击增加29点杀气	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1004	8	受到攻击增加33点杀气	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1004	9	受到攻击增加37点杀气	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1004	10	受到攻击增加41点杀气	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1005	1	攻击力增加6点	0	0	1	45	6	0	0	0	0	0	0	0	0	0	0
1005	2	攻击力增加18点	0	0	1	45	18	0	0	0	0	0	0	0	0	0	0
