Index	AwardType	ColorLevel	IconID	Tips1	Tips2	Tips3	Exp	GameMoney	RealMoney	Prestige	awardWarrior1	awardMage1	awardArcher1	awardNum1
1	3	2	11001073	铜币:1000	铜币:1000	铜币:1000	0	1000	0	0	0	0	0	0
2	3	2	11001073	铜币:1200	铜币:1200	铜币:1200	0	1200	0	0	0	0	0	0
3	5	2	11001072	声望:500	声望:500	声望:500	0	0	0	500	0	0	0	0
4	3	2	11001073	铜币:1440	铜币:1440	铜币:1440	0	1450	0	0	0	0	0	0
5	3	2	11001073	铜币:1750	铜币:1750	铜币:1750	0	1750	0	0	0	0	0	0
6	5	2	11001072	声望:500	声望:500	声望:500	0	0	0	600	0	0	0	0
7	1	4	11001074	15级紫色武器	15级紫色武器	15级紫色武器	0	0	0	0	12003	11003	13003	1
8	3	2	11001073	铜币:2100	铜币:2100	铜币:2100	0	2100	0	0	0	0	0	0
9	3	2	11001073	铜币:2500	铜币:2500	铜币:2500	0	2500	0	0	0	0	0	0
10	5	2	11001072	声望:880	声望:880	声望:880	0	0	0	880	0	0	0	0
11	3	2	11001073	铜币:3000	铜币:3000	铜币:3000	0	3000	0	0	0	0	0	0
12	3	2	11001073	铜币:3600	铜币:3600	铜币:3600	0	3600	0	0	0	0	0	0
13	5	3	11001072	声望:1050	声望:1050	声望:1050	0	0	0	1050	0	0	0	0
14	1	4	11001081	30级紫色饰品	30级紫色饰品	30级紫色饰品	0	0	0	0	28601	28601	28601	1
15	3	2	11001073	铜币:4300	铜币:4300	铜币:4300	0	4300	0	0	0	0	0	0
16	1	3	11001080	一级强化石*10	一级强化石*10	一级强化石*10	0	0	0	0	57001	57001	57001	10
17	5	3	11001072	声望:1250	声望:1250	声望:1250	0	0	0	1250	0	0	0	0
18	3	3	11001073	铜币:5200	铜币:5200	铜币:5200	0	5200	0	0	0	0	0	0
19	1	3	11001075	白虎丹*10	朱雀丹*10	青龙丹*10	0	0	0	0	80000	80021	80007	10
20	5	3	11001072	声望:1500	声望:1500	声望:1500	0	0	0	1500	0	0	0	0
21	3	3	11001073	铜币:6200	铜币:6200	铜币:6200	0	6200	0	0	0	0	0	0
22	1	3	11001080	二级强化石*10	二级强化石*10	二级强化石*10	0	0	0	0	57002	57002	57002	10
23	5	3	11001072	声望:1800	声望:1800	声望:1800	0	0	0	1800	0	0	0	0
24	3	3	11001073	铜币:7400	铜币:7400	铜币:7400	0	7400	0	0	0	0	0	0
25	1	4	11001075	白虎丹*10	朱雀丹*10	青龙丹*10	0	0	0	0	80001	80022	80008	10
26	5	4	11001072	声望:2150	声望:2150	声望:2150	0	0	0	2150	0	0	0	0
27	3	4	11001073	铜币:8800	铜币:8800	铜币:8800	0	8800	0	0	0	0	0	0
28	1	4	11001080	三级强化石*10	三级强化石*10	三级强化石*10	0	0	0	0	57003	57003	57003	10
29	4	5	11001072	白虎丹*10	朱雀丹*10	青龙丹*10	0	0	100	0	0	0	0	0
30	1	5	11001082	白虎丹*10	朱雀丹*10	青龙丹*10	0	0	0	0	0	0	0	0
