Index	Des	AtlasID	IconID_Com	IconID_Hover	IconID_Pressed	Group	SortID	RequireLevel	RequireQuest	RequireDupID	AnimationType	MixID
1	恭喜！您已经开启了角色功能	1300	11000600	11000611	11000611	1	16	1	0	0	1	0
2	恭喜！您已经开启了背包功能	1300	11000602	11000613	11000613	1	15	1	0	0	1	0
3	恭喜！您已经开启了技能功能	1300	11000603	11000614	11000614	1	14	4	1011	0	1	0
4	恭喜！您已经开启了生产功能	1300	11000622	11000623	11000623	1	11	23	0	0	1	0
8	恭喜！您已经开启了好友功能	1300	11000607	11000618	11000618	1	2	9	1019	0	1	0
10	恭喜！您已经开启了布阵功能	1300	11000610	11000621	11000621	1	13	3	1007	0	1	0
11	恭喜！您已经开启了门派功能	1300	11000606	11000617	11000617	1	3	17	1033	0	1	0
7	恭喜！您已经开启了强化功能	1300	11000604	11000615	11000615	1	12	3	1006	0	1	0
12	恭喜！您现在可以进行修行了！	1300	11000609	11000620	11000620	1	17	6	1013	0	1	0
64	恭喜！您开启七日目标功能！	1300	11000663	11000664	11000664	2	5	1	0	0	1	0
20	恭喜！您已经开启了镶嵌功能	1300	11000632	11000632	11000632	1	12	23	1027	0	2	7
21	恭喜！您已经开启了化灵功能	1300	11000635	11000635	11000635	1	16	10	990	0	2	1
22	恭喜！您已经开启了符印功能	1300	11000631	11000631	11000631	1	16	23	0	0	2	1
5	恭喜！您已经开启了坐骑功能	1300	11000608	11000619	11000619	1	4	6	1014	0	1	0
24	恭喜！您已经开启了灵丹功能	1300	11000633	11000633	11000633	1	16	7	1016	0	2	1
68	恭喜！您已经开启了市集功能	1300	11000590	11000591	11000591	2	4	23	0	0	1	0
52	恭喜！您已经开启了山河图活动	1300	11000653	11000575	11000575	2	9	8	1017	0	1	0
56	恭喜！您已经开启了仙道会活动	1300	11000658	11000571	11000571	2	6	18	1035	0	1	0
65	斩妖录已经被激活，欢迎大家参加！	1300	11000592	11000593	11000593	2	10	11	1024	0	1	0
66	山海经已经被激活，欢迎大家参加！	1300	11000594	11000595	11000595	2	11	16	1031	0	1	0
59	恭喜！您已经开启了修行宝典功能	1300	11000581	11000582	11000582	2	2	6	1013	0	1	0
67	恭喜！您已经开启了声望商店功能	1300	11000661	11000577	11000577	2	12	20	1039	0	1	0
63	恭喜！您已经开启了摇钱树功能	1300	11000580	11000579	11000579	2	22	10	1023	0	1	0
999	领取奖励	1300	11000586	11000587	11000587	2	999	99	0	0	0	0
