UID	StrName	AttackType	On_CamSize	On_ScaleX	On_ScaleY	On_ScaleZ	On_PositionX	On_PositionY	On_PositionZ	On_RotationX	On_RotationY	On_RotationZ	Off_CamSize	Off_ScaleX	Off_ScaleY	Off_ScaleZ	Off_PositionX	Off_PositionY	Off_PositionZ	Off_RotationX	Off_RotationY	Off_RotationZ
50006	北极熊测试	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10001	北极熊测试	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10002	猛壮士测试	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10019	危月燕（大千殿）	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10020	蛤蟆精（黑沼）	2	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10021	猪刚烈（黄泥岗）	2	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10022	逍遥子（测试用）	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10023	巨石怪（撼天塔下）	2	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10024	鲤鱼精(测试用）	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10025	花妖(测试用）	2	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10026	白熊精（应天大牢）	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10027	白骨精（千年古墓）	2	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10028	苍火长老（乱石滩）	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10029	火麒麟（火云洞）	2	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10030	饕杌（撼天塔上）	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10031	水貐	2	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10032	冰魄怪（五寒峰）	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10033	越来峰	2	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10034	火娃	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10035	人参娃（万兽山）	2	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10036	哪吒	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10037	雷公	2	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10038	牛头妖	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10039	杨戬	2	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10040	嫦娥	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10041	人参娃（奖励）	2	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10042	猪刚烈（奖励）	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10043	白骨精（奖励）	2	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
10044	蛤蟆精（奖励）	1	1.5	1	1	1	1	1	1	1	90	1	1.5	1	1	1	1	1	1	1	90	1
