BossID	Level	Name	BattleLevel	ModelID	Reputation	Money	Exp	TCID	MonID_9_0	MonID_9_1	MonID_9_2	MonID_9_3	MonID_9_4	MonID_9_5	MonID_9_6	MonID_9_7	MonID_9_8	FixValue	SceneID
0	20	异兽狰	22	73031	0	30	15	0	101	101	101	0	101	0	0	102	0	0.8	101621
1	21	辟邪	23	73046	0	30	15	0	103	104	103	0	103	0	0	105	0	0.8	101621
2	22	强良	24	73067	0	30	15	0	140	140	0	139	141	139	0	0	0	0.8	101621
3	23	陆吾	25	73148	0	30	15	0	133	135	133	134	0	134	0	0	0	0.8	101621
4	24	靑丘	26	73131	0	30	15	0	136	137	136	0	136	0	0	138	0	0.8	101621
5	25	祖状之尸	27	73176	0	30	15	0	0	142	0	0	142	0	143	144	143	0.8	101621
6	26	夜游神	28	73075	0	30	15	0	127	127	127	128	129	0	0	0	0	0.8	101621
7	27	继尤氏	29	73190	0	30	15	0	0	130	0	0	130	0	131	132	131	0.8	101621
8	28	帝江	30	73088	0	30	15	0	0	121	0	0	121	0	122	123	122	0.8	101621
9	29	当扈	31	73085	0	30	15	0	118	118	0	119	120	119	0	0	0	0.8	101621
10	30	烛龙	32	73081	0	30	15	0	109	0	0	110	111	110	0	109	0	0.8	101621
11	31	义均	33	73194	0	30	15	0	115	117	115	116	0	116	0	0	0	0.8	101621
12	32	烛九阴	34	73057	0	30	15	0	106	107	106	0	107	0	0	108	0	0.8	101621
13	33	凿齿	35	73135	0	30	15	0	0	0	0	0	0	0	0	0	0	0.8	101621
14	34	九婴	36	73106	0	30	15	0	0	112	0	113	114	113	0	112	0	0.8	101621
15	35	角端	37	73143	0	30	15	0	0	145	0	0	145	0	146	147	146	0.8	101621
