EquipGroupID	Sex	JobID	LevelID_5_0	LevelID_5_1	LevelID_5_2	LevelID_5_3	LevelID_5_4
1	1	1	10004	1201009	1201009	1201010	1201011
1	2	1	20504	1202010	1202010	1202011	1202012
1	1	2	31001	1203009	1203009	1203010	1203011
1	2	2	41501	1204013	1204013	1204014	1204015
1	1	3	52003	1205005	1205005	1205007	1205008
1	2	3	62503	1206005	1206005	1206006	1206008
101	1	1	87006	1207000	1207000	1207001	1207002
101	2	1	87006	1207000	1207000	1207001	1207002
102	1	2	87007	1208000	1208000	1208001	1208002
102	2	2	87007	1208000	1208000	1208001	1208002
103	1	3	87008	1209000	1209000	1209001	1209002
103	2	3	87008	1209000	1209000	1209001	1209002
2	1	1	10005	1201012	1201012	1201013	1201014
2	2	1	20505	1202014	1202014	1202015	1202016
2	1	2	31003	1203001	1203001	1203003	1203004
2	2	2	41503	1204005	1204005	1204007	1204008
2	1	3	52004	1205009	1205009	1205010	1205011
2	2	3	62504	1206009	1206009	1206010	1206011
201	1	1	87015	1207003	1207003	1207004	1207005
201	2	1	87015	1207003	1207003	1207004	1207005
202	1	2	87009	1208003	1208003	1208004	1208005
202	2	2	87009	1208003	1208003	1208004	1208005
203	1	3	87012	1209003	1209003	1209004	1209005
203	2	3	87012	1209003	1209003	1209004	1209005
3	1	1	10003	1201005	1201005	1201007	1201008
3	2	1	20503	1202001	1202001	1202002	1202003
3	1	2	31002	1203005	1203005	1203007	1203008
3	2	2	41502	1204001	1204001	1204003	1204004
3	1	3	52005	1205012	1205012	1205013	1205014
3	2	3	62505	1206012	1206012	1206013	1206014
301	1	1	87016	1207006	1207006	1207007	1207008
301	2	1	87016	1207006	1207006	1207007	1207008
302	1	2	87010	1208006	1208006	1208007	1208008
302	2	2	87010	1208006	1208006	1208007	1208008
303	1	3	87013	1209006	1209006	1209007	1209008
303	2	3	87013	1209006	1209006	1209007	1209008
4	1	1	10002	1201001	1201001	1201003	1201004
4	2	1	20502	1202005	1202005	1202006	1202007
4	1	2	31004	1203012	1203012	1203013	1203014
4	2	2	41504	1204009	1204009	1204011	1204012
4	1	3	52002	1205001	1205001	1205003	1205004
4	2	3	62502	1206001	1206001	1206003	1206004
401	1	1	87017	1207009	1207009	1207010	1207011
401	2	1	87017	1207009	1207009	1207010	1207011
402	1	2	87011	1208009	1208009	1208010	1208011
402	2	2	87011	1208009	1208009	1208010	1208011
403	1	3	87014	1209009	1209009	1209010	1209011
403	2	3	87014	1209009	1209009	1209010	1209011
5	1	1	0	0	0	0	0
5	2	1	0	0	0	0	0
5	1	2	0	0	0	0	0
5	2	2	0	0	0	0	0
5	1	3	0	0	0	0	0
5	2	3	0	0	0	0	0
501	1	1	0	0	0	0	0
501	2	1	0	0	0	0	0
502	1	2	0	0	0	0	0
502	2	2	0	0	0	0	0
503	1	3	0	0	0	0	0
503	2	3	0	0	0	0	0
6	1	1	0	0	0	0	0
6	2	1	0	0	0	0	0
6	1	2	0	0	0	0	0
6	2	2	0	0	0	0	0
6	1	3	0	0	0	0	0
6	2	3	0	0	0	0	0
601	1	1	0	0	0	0	0
601	2	1	0	0	0	0	0
602	1	2	0	0	0	0	0
602	2	2	0	0	0	0	0
603	1	3	0	0	0	0	0
603	2	3	0	0	0	0	0
7	1	1	0	0	0	0	0
7	2	1	0	0	0	0	0
7	1	2	0	0	0	0	0
7	2	2	0	0	0	0	0
7	1	3	0	0	0	0	0
7	2	3	0	0	0	0	0
701	1	1	0	0	0	0	0
701	2	1	0	0	0	0	0
702	1	2	0	0	0	0	0
702	2	2	0	0	0	0	0
703	1	3	0	0	0	0	0
703	2	3	0	0	0	0	0
8	1	1	0	0	0	0	0
8	2	1	0	0	0	0	0
8	1	2	0	0	0	0	0
8	2	2	0	0	0	0	0
8	1	3	0	0	0	0	0
8	2	3	0	0	0	0	0
801	1	1	0	0	0	0	0
801	2	1	0	0	0	0	0
802	1	2	0	0	0	0	0
802	2	2	0	0	0	0	0
803	1	3	0	0	0	0	0
803	2	3	0	0	0	0	0
9	1	1	0	0	0	0	0
9	2	1	0	0	0	0	0
9	1	2	0	0	0	0	0
9	2	2	0	0	0	0	0
9	1	3	0	0	0	0	0
9	2	3	0	0	0	0	0
901	1	1	0	0	0	0	0
901	2	1	0	0	0	0	0
902	1	2	0	0	0	0	0
902	2	2	0	0	0	0	0
903	1	3	0	0	0	0	0
903	2	3	0	0	0	0	0
10	1	1	0	0	0	0	0
10	2	1	0	0	0	0	0
10	1	2	0	0	0	0	0
10	2	2	0	0	0	0	0
10	1	3	0	0	0	0	0
10	2	3	0	0	0	0	0
1001	1	1	0	0	0	0	0
1001	2	1	0	0	0	0	0
1002	1	2	0	0	0	0	0
1002	2	2	0	0	0	0	0
1003	1	3	0	0	0	0	0
1003	2	3	0	0	0	0	0
11	1	1	0	0	0	0	0
11	2	1	0	0	0	0	0
11	1	2	0	0	0	0	0
11	2	2	0	0	0	0	0
11	1	3	0	0	0	0	0
11	2	3	0	0	0	0	0
1101	1	1	0	0	0	0	0
1101	2	1	0	0	0	0	0
1102	1	2	0	0	0	0	0
1102	2	2	0	0	0	0	0
1103	1	3	0	0	0	0	0
1103	2	3	0	0	0	0	0
12	1	1	0	0	0	0	0
12	2	1	0	0	0	0	0
12	1	2	0	0	0	0	0
12	2	2	0	0	0	0	0
12	1	3	0	0	0	0	0
12	2	3	0	0	0	0	0
1201	1	1	0	0	0	0	0
1201	2	1	0	0	0	0	0
1202	1	2	0	0	0	0	0
1202	2	2	0	0	0	0	0
1203	1	3	0	0	0	0	0
1203	2	3	0	0	0	0	0
13	1	1	0	0	0	0	0
13	2	1	0	0	0	0	0
13	1	2	0	0	0	0	0
13	2	2	0	0	0	0	0
13	1	3	0	0	0	0	0
13	2	3	0	0	0	0	0
1301	1	1	0	0	0	0	0
1301	2	1	0	0	0	0	0
1302	1	2	0	0	0	0	0
1302	2	2	0	0	0	0	0
1303	1	3	0	0	0	0	0
1303	2	3	0	0	0	0	0
14	1	1	0	0	0	0	0
14	2	1	0	0	0	0	0
14	1	2	0	0	0	0	0
14	2	2	0	0	0	0	0
14	1	3	0	0	0	0	0
14	2	3	0	0	0	0	0
1401	1	1	0	0	0	0	0
1401	2	1	0	0	0	0	0
1402	1	2	0	0	0	0	0
1402	2	2	0	0	0	0	0
1403	1	3	0	0	0	0	0
1403	2	3	0	0	0	0	0
15	1	1	0	0	0	0	0
15	2	1	0	0	0	0	0
15	1	2	0	0	0	0	0
15	2	2	0	0	0	0	0
15	1	3	0	0	0	0	0
15	2	3	0	0	0	0	0
1501	1	1	0	0	0	0	0
1501	2	1	0	0	0	0	0
1502	1	2	0	0	0	0	0
1502	2	2	0	0	0	0	0
1503	1	3	0	0	0	0	0
1503	2	3	0	0	0	0	0
88	1	1	10101	10101	10101	10101	10101
88	2	1	20601	20601	20601	20601	20601
88	1	2	31101	31101	31101	31101	31101
88	2	2	41601	41601	41601	41601	41601
88	1	3	52101	52101	52101	52101	52101
88	2	3	62601	62601	62601	62601	62601
89	1	1	0	0	0	0	0
89	2	1	0	0	0	0	0
89	1	2	31101	31101	31101	31101	31101
89	2	2	41601	41601	41601	41601	41601
89	1	3	0	0	0	0	0
89	2	3	0	0	0	0	0
90	1	1	10101	10101	10101	10101	10101
90	2	1	20601	20601	20601	20601	20601
90	1	2	0	0	0	0	0
90	2	2	0	0	0	0	0
90	1	3	0	0	0	0	0
90	2	3	0	0	0	0	0
