AttrID	EffectDes	AttrDes	ChangeType	AttrSortID	AttrDefineID
1	等级+	等级+	0	1	1
2	成长+	成长+	0	1	2
3	武力+	武力+	0	1	3
4	灵巧+	灵巧+	0	1	4
5	体质+	体质+	0	1	5
6	术法+	术法+	0	1	6
7	统领+	统领+	0	1	7
8	宠物加成率+	宠物加成率+	0	1	8
9	武力成长率+	武力成长率+	0	1	9
10	灵巧成长率+	灵巧成长率+	0	1	10
11	体质成长率+	体质成长率+	0	1	11
12	术法成长率+	术法成长率+	0	1	12
13	统领成长率+	统领成长率+	0	1	13
14	暴击+	暴击+	0	1	14
15	韧性+	韧性+	0	1	15
16	幸运+	幸运+	0	1	16
17	士气+	士气+	0	1	17
18	闪避+	闪避+	0	1	18
19	命中+	命中+	0	1	19
20	抵挡+	抵挡+	0	1	20
21	准确+	准确+	0	1	21
22	伤害增加率+	伤害增加率+	0	1	22
23	伤害增加+	伤害增加值+	0	1	23
24	减伤率+	减伤率+	0	1	24
25	减伤+	减伤+	0	1	25
26	职业+	职业+	0	1	26
41	生命上限+	生命+	0	1	41
42	初始怒气+	初始杀气+	0	1	42
43	怒气上限+	杀气上限+	0	1	43
44	怒气获取+	杀气获取+	0	1	44
45	攻击力+	攻击+	0	1	45
46	攻击速度+	攻击速度+	0	1	46
47	护甲+	护甲+	0	1	47
48	术防+	术防+	0	1	48
49	暴击率+	暴击率+	0	1	49
50	暴击倍率+	暴击倍率+	0	1	50
51	韧性率+	韧性率+	0	1	51
52	幸运率+	幸运率+	0	1	52
53	士气率+	士气率+	0	1	53
54	闪避率+	闪避率+	0	1	54
55	命中率+	命中率+	0	1	55
56	抵挡率+	抵挡率+	0	1	56
57	精准率+	精准率+	0	1	57
58	自疗恢复率+	自疗恢复率+	0	1	58
59	吸血率+	吸血率+	0	1	59
60	复活率+	复活率+	0	1	60
61	复活恢复率+	复活恢复率+	0	1	61
62	心神抵抗率+	心神抵抗率+	0	1	62
63	形体抵抗率+	形体抵抗率+	0	1	63
64	魂魄抵抗率+	魂魄抵抗率+	0	1	64
65	普通伤害增加率+	普通伤害增加率+	0	1	65
66	术法伤害增加率+	术法伤害增加率+	0	1	66
67	治疗增加率+	治疗增加率+	0	1	67
68	普通伤害增加值+	普通伤害增加值+	0	1	68
69	术法伤害增加值+	术法伤害增加值+	0	1	69
70	治疗增加值+	治疗增加值+	0	1	70
71	普通伤害减伤率+	普通伤害减伤率+	0	1	71
72	法术伤害减伤率+	法术伤害减伤率+	0	1	72
73	治疗伤害减伤率+	治疗伤害减伤率+	0	1	73
74	物理减伤值+	受伤降低+	0	1	74
75	法术减伤值+	法术减伤+	0	1	75
76	治疗减伤值+	治疗减伤值+	0	1	76
77	反击次数+	反击次数+	0	1	77
78	反击伤害率+	反击伤害率+	0	1	78
