EquipLevel	EquipColorLevel	StrengthenLevel	IsCanDecompose	Material_2_0	Min_2_0	Max_2_0	Material_2_1	Min_2_1	Max_2_1
1	1	1	0	0	0	0	0	0	0
1	1	2	0	0	0	0	0	0	0
1	1	3	0	0	0	0	0	0	0
1	1	4	0	0	0	0	0	0	0
1	1	5	0	0	0	0	0	0	0
1	1	6	0	0	0	0	0	0	0
1	1	7	0	0	0	0	0	0	0
1	1	8	0	0	0	0	0	0	0
1	1	9	0	0	0	0	0	0	0
1	1	10	0	0	0	0	0	0	0
1	2	1	1	57000	1	2	0	0	0
1	2	2	1	57000	2	3	0	0	0
1	2	3	1	57000	4	5	0	0	0
1	2	4	1	57000	6	7	0	0	0
1	2	5	1	57000	8	9	0	0	0
1	2	6	1	57000	10	11	0	0	0
1	2	7	1	57000	13	14	0	0	0
1	2	8	1	57000	16	17	0	0	0
1	2	9	1	57000	19	20	0	0	0
1	2	10	1	57000	23	24	0	0	0
1	3	1	1	57001	1	2	0	0	0
1	3	2	1	57001	2	3	0	0	0
1	3	3	1	57001	4	5	0	0	0
1	3	4	1	57001	6	7	0	0	0
1	3	5	1	57001	8	9	0	0	0
1	3	6	1	57001	10	11	0	0	0
1	3	7	1	57001	13	14	0	0	0
1	3	8	1	57001	16	17	0	0	0
1	3	9	1	57001	19	20	0	0	0
1	3	10	1	57001	23	24	0	0	0
1	4	1	1	57002	1	1	0	0	0
1	4	2	1	57002	2	2	0	0	0
1	4	3	1	57002	4	4	0	0	0
1	4	4	1	57002	6	6	0	0	0
1	4	5	1	57002	8	8	0	0	0
1	4	6	1	57002	10	10	0	0	0
1	4	7	1	57002	13	13	0	0	0
1	4	8	1	57002	16	16	0	0	0
1	4	9	1	57002	19	19	0	0	0
1	4	10	1	57002	23	23	0	0	0
1	5	1	1	57003	1	1	0	0	0
1	5	2	1	57003	2	2	0	0	0
1	5	3	1	57003	4	4	0	0	0
1	5	4	1	57003	6	6	0	0	0
1	5	5	1	57003	8	8	0	0	0
1	5	6	1	57003	10	10	0	0	0
1	5	7	1	57003	13	13	0	0	0
1	5	8	1	57003	16	16	0	0	0
1	5	9	1	57003	19	19	0	0	0
1	5	10	1	57003	23	23	0	0	0
1	6	1	1	57004	1	1	0	0	0
1	6	2	1	57004	2	2	0	0	0
1	6	3	1	57004	4	4	0	0	0
1	6	4	1	57004	6	6	0	0	0
1	6	5	1	57004	8	8	0	0	0
1	6	6	1	57004	10	10	0	0	0
1	6	7	1	57004	13	13	0	0	0
1	6	8	1	57004	16	16	0	0	0
1	6	9	1	57004	19	19	0	0	0
1	6	10	1	57004	23	23	0	0	0
10	1	1	0	0	0	0	0	0	0
10	1	2	0	0	0	0	0	0	0
10	1	3	0	0	0	0	0	0	0
10	1	4	0	0	0	0	0	0	0
10	1	5	0	0	0	0	0	0	0
10	1	6	0	0	0	0	0	0	0
10	1	7	0	0	0	0	0	0	0
10	1	8	0	0	0	0	0	0	0
10	1	9	0	0	0	0	0	0	0
10	1	10	0	0	0	0	0	0	0
10	2	1	1	57000	1	2	0	0	0
10	2	2	1	57000	2	3	0	0	0
10	2	3	1	57000	4	5	0	0	0
10	2	4	1	57000	6	7	0	0	0
10	2	5	1	57000	8	9	0	0	0
10	2	6	1	57000	10	11	0	0	0
10	2	7	1	57000	13	14	0	0	0
10	2	8	1	57000	16	17	0	0	0
10	2	9	1	57000	19	20	0	0	0
10	2	10	1	57000	23	24	0	0	0
10	3	1	1	57001	1	2	0	0	0
10	3	2	1	57001	2	3	0	0	0
10	3	3	1	57001	4	5	0	0	0
10	3	4	1	57001	6	7	0	0	0
10	3	5	1	57001	8	9	0	0	0
10	3	6	1	57001	10	11	0	0	0
10	3	7	1	57001	13	14	0	0	0
10	3	8	1	57001	16	17	0	0	0
10	3	9	1	57001	19	20	0	0	0
10	3	10	1	57001	23	24	0	0	0
10	4	1	1	57002	1	1	0	0	0
10	4	2	1	57002	2	2	0	0	0
10	4	3	1	57002	4	4	0	0	0
10	4	4	1	57002	6	6	0	0	0
10	4	5	1	57002	8	8	0	0	0
10	4	6	1	57002	10	10	0	0	0
10	4	7	1	57002	13	13	0	0	0
10	4	8	1	57002	16	16	0	0	0
10	4	9	1	57002	19	19	0	0	0
10	4	10	1	57002	23	23	0	0	0
10	5	1	1	57003	1	1	0	0	0
10	5	2	1	57003	2	2	0	0	0
10	5	3	1	57003	4	4	0	0	0
10	5	4	1	57003	6	6	0	0	0
10	5	5	1	57003	8	8	0	0	0
10	5	6	1	57003	10	10	0	0	0
10	5	7	1	57003	13	13	0	0	0
10	5	8	1	57003	16	16	0	0	0
10	5	9	1	57003	19	19	0	0	0
10	5	10	1	57003	23	23	0	0	0
10	6	1	1	57004	1	1	0	0	0
10	6	2	1	57004	2	2	0	0	0
10	6	3	1	57004	4	4	0	0	0
10	6	4	1	57004	6	6	0	0	0
10	6	5	1	57004	8	8	0	0	0
10	6	6	1	57004	10	10	0	0	0
10	6	7	1	57004	13	13	0	0	0
10	6	8	1	57004	16	16	0	0	0
10	6	9	1	57004	19	19	0	0	0
10	6	10	1	57004	23	23	0	0	0
20	1	1	0	0	0	0	0	0	0
20	1	2	0	0	0	0	0	0	0
20	1	3	0	0	0	0	0	0	0
20	1	4	0	0	0	0	0	0	0
20	1	5	0	0	0	0	0	0	0
20	1	6	0	0	0	0	0	0	0
20	1	7	0	0	0	0	0	0	0
20	1	8	0	0	0	0	0	0	0
20	1	9	0	0	0	0	0	0	0
20	1	10	0	0	0	0	0	0	0
20	2	1	1	57000	1	2	0	0	0
20	2	2	1	57000	2	3	0	0	0
20	2	3	1	57000	4	5	0	0	0
20	2	4	1	57000	6	7	0	0	0
20	2	5	1	57000	8	9	0	0	0
20	2	6	1	57000	10	11	0	0	0
20	2	7	1	57000	13	14	0	0	0
20	2	8	1	57000	16	17	0	0	0
20	2	9	1	57000	19	20	0	0	0
20	2	10	1	57000	23	24	0	0	0
20	3	1	1	57001	1	2	0	0	0
20	3	2	1	57001	2	3	0	0	0
20	3	3	1	57001	4	5	0	0	0
20	3	4	1	57001	6	7	0	0	0
20	3	5	1	57001	8	9	0	0	0
20	3	6	1	57001	10	11	0	0	0
20	3	7	1	57001	13	14	0	0	0
20	3	8	1	57001	16	17	0	0	0
20	3	9	1	57001	19	20	0	0	0
20	3	10	1	57001	23	24	0	0	0
20	4	1	1	57002	1	1	0	0	0
20	4	2	1	57002	2	2	0	0	0
20	4	3	1	57002	4	4	0	0	0
20	4	4	1	57002	6	6	0	0	0
20	4	5	1	57002	8	8	0	0	0
20	4	6	1	57002	10	10	0	0	0
20	4	7	1	57002	13	13	0	0	0
20	4	8	1	57002	16	16	0	0	0
20	4	9	1	57002	19	19	0	0	0
20	4	10	1	57002	23	23	0	0	0
20	5	1	1	57003	1	1	0	0	0
20	5	2	1	57003	2	2	0	0	0
20	5	3	1	57003	4	4	0	0	0
20	5	4	1	57003	6	6	0	0	0
20	5	5	1	57003	8	8	0	0	0
20	5	6	1	57003	10	10	0	0	0
20	5	7	1	57003	13	13	0	0	0
20	5	8	1	57003	16	16	0	0	0
20	5	9	1	57003	19	19	0	0	0
20	5	10	1	57003	23	23	0	0	0
20	6	1	1	57004	1	1	0	0	0
20	6	2	1	57004	2	2	0	0	0
20	6	3	1	57004	4	4	0	0	0
20	6	4	1	57004	6	6	0	0	0
20	6	5	1	57004	8	8	0	0	0
20	6	6	1	57004	10	10	0	0	0
20	6	7	1	57004	13	13	0	0	0
20	6	8	1	57004	16	16	0	0	0
20	6	9	1	57004	19	19	0	0	0
20	6	10	1	57004	23	23	0	0	0
30	1	1	0	0	0	0	0	0	0
30	1	2	0	0	0	0	0	0	0
30	1	3	0	0	0	0	0	0	0
30	1	4	0	0	0	0	0	0	0
30	1	5	0	0	0	0	0	0	0
30	1	6	0	0	0	0	0	0	0
30	1	7	0	0	0	0	0	0	0
30	1	8	0	0	0	0	0	0	0
30	1	9	0	0	0	0	0	0	0
30	1	10	0	0	0	0	0	0	0
30	2	1	1	57000	1	2	0	0	0
30	2	2	1	57000	2	3	0	0	0
30	2	3	1	57000	4	5	0	0	0
30	2	4	1	57000	6	7	0	0	0
30	2	5	1	57000	8	9	0	0	0
30	2	6	1	57000	10	11	0	0	0
30	2	7	1	57000	13	14	0	0	0
30	2	8	1	57000	16	17	0	0	0
30	2	9	1	57000	19	20	0	0	0
30	2	10	1	57000	23	24	0	0	0
30	3	1	1	57001	1	2	0	0	0
30	3	2	1	57001	2	3	0	0	0
30	3	3	1	57001	4	5	0	0	0
30	3	4	1	57001	6	7	0	0	0
30	3	5	1	57001	8	9	0	0	0
30	3	6	1	57001	10	11	0	0	0
30	3	7	1	57001	13	14	0	0	0
30	3	8	1	57001	16	17	0	0	0
30	3	9	1	57001	19	20	0	0	0
30	3	10	1	57001	23	24	0	0	0
30	4	1	1	57002	1	1	0	0	0
30	4	2	1	57002	2	2	0	0	0
30	4	3	1	57002	4	4	0	0	0
30	4	4	1	57002	6	6	0	0	0
30	4	5	1	57002	8	8	0	0	0
30	4	6	1	57002	10	10	0	0	0
30	4	7	1	57002	13	13	0	0	0
30	4	8	1	57002	16	16	0	0	0
30	4	9	1	57002	19	19	0	0	0
30	4	10	1	57002	23	23	0	0	0
30	5	1	1	57003	1	1	0	0	0
30	5	2	1	57003	2	2	0	0	0
30	5	3	1	57003	4	4	0	0	0
30	5	4	1	57003	6	6	0	0	0
30	5	5	1	57003	8	8	0	0	0
30	5	6	1	57003	10	10	0	0	0
30	5	7	1	57003	13	13	0	0	0
30	5	8	1	57003	16	16	0	0	0
30	5	9	1	57003	19	19	0	0	0
30	5	10	1	57003	23	23	0	0	0
30	6	1	1	57004	1	1	0	0	0
30	6	2	1	57004	2	2	0	0	0
30	6	3	1	57004	4	4	0	0	0
30	6	4	1	57004	6	6	0	0	0
30	6	5	1	57004	8	8	0	0	0
30	6	6	1	57004	10	10	0	0	0
30	6	7	1	57004	13	13	0	0	0
30	6	8	1	57004	16	16	0	0	0
30	6	9	1	57004	19	19	0	0	0
30	6	10	1	57004	23	23	0	0	0
40	1	1	0	0	0	0	0	0	0
40	1	2	0	0	0	0	0	0	0
40	1	3	0	0	0	0	0	0	0
40	1	4	0	0	0	0	0	0	0
40	1	5	0	0	0	0	0	0	0
40	1	6	0	0	0	0	0	0	0
40	1	7	0	0	0	0	0	0	0
40	1	8	0	0	0	0	0	0	0
40	1	9	0	0	0	0	0	0	0
40	1	10	0	0	0	0	0	0	0
40	2	1	1	57000	1	3	0	0	0
40	2	2	1	57000	2	4	0	0	0
40	2	3	1	57000	4	6	0	0	0
40	2	4	1	57000	6	8	0	0	0
40	2	5	1	57000	8	10	0	0	0
40	2	6	1	57000	10	12	0	0	0
40	2	7	1	57000	13	15	0	0	0
40	2	8	1	57000	16	18	0	0	0
40	2	9	1	57000	19	21	0	0	0
40	2	10	1	57000	23	25	0	0	0
40	3	1	1	57001	1	3	0	0	0
40	3	2	1	57001	2	4	0	0	0
40	3	3	1	57001	4	6	0	0	0
40	3	4	1	57001	6	8	0	0	0
40	3	5	1	57001	8	10	0	0	0
40	3	6	1	57001	10	12	0	0	0
40	3	7	1	57001	13	15	0	0	0
40	3	8	1	57001	16	18	0	0	0
40	3	9	1	57001	19	21	0	0	0
40	3	10	1	57001	23	25	0	0	0
40	4	1	1	57002	1	2	0	0	0
40	4	2	1	57002	2	3	0	0	0
40	4	3	1	57002	4	5	0	0	0
40	4	4	1	57002	6	7	0	0	0
40	4	5	1	57002	8	9	0	0	0
40	4	6	1	57002	10	11	0	0	0
40	4	7	1	57002	13	14	0	0	0
40	4	8	1	57002	16	17	0	0	0
40	4	9	1	57002	19	20	0	0	0
40	4	10	1	57002	23	24	0	0	0
40	5	1	1	57003	1	1	0	0	0
40	5	2	1	57003	2	2	0	0	0
40	5	3	1	57003	4	4	0	0	0
40	5	4	1	57003	6	6	0	0	0
40	5	5	1	57003	8	8	0	0	0
40	5	6	1	57003	10	10	0	0	0
40	5	7	1	57003	13	13	0	0	0
40	5	8	1	57003	16	16	0	0	0
40	5	9	1	57003	19	19	0	0	0
40	5	10	1	57003	23	23	0	0	0
40	6	1	1	57004	1	1	0	0	0
40	6	2	1	57004	2	2	0	0	0
40	6	3	1	57004	4	4	0	0	0
40	6	4	1	57004	6	6	0	0	0
40	6	5	1	57004	8	8	0	0	0
40	6	6	1	57004	10	10	0	0	0
40	6	7	1	57004	13	13	0	0	0
40	6	8	1	57004	16	16	0	0	0
40	6	9	1	57004	19	19	0	0	0
40	6	10	1	57004	23	23	0	0	0
50	1	1	0	0	0	0	0	0	0
50	1	2	0	0	0	0	0	0	0
50	1	3	0	0	0	0	0	0	0
50	1	4	0	0	0	0	0	0	0
50	1	5	0	0	0	0	0	0	0
50	1	6	0	0	0	0	0	0	0
50	1	7	0	0	0	0	0	0	0
