EquipColorLevel	StrengthenLevel	EquipLevel	IsCanStrengthen	MaterialID_2_0	MaterialNum_2_0	MaterialID_2_1	MaterialNum_2_1	Rate	AfterLevel	FailLevel	GameMoney	RealMoney	AttrRate	AppearLevel	SlotNum
1	1	1	0	0	0	0	0	1	2	1	0	20	1	1	3
1	2	1	0	0	0	0	0	1	3	2	0	40	1.2	1	3
1	3	1	0	0	0	0	0	1	4	3	0	60	1.4	1	3
1	4	1	0	0	0	0	0	1	5	4	0	60	1.6	1	3
1	5	1	0	0	0	0	0	1	6	4	0	120	1.8	2	3
1	6	1	0	0	0	0	0	1	7	5	0	180	2	2	3
1	7	1	0	0	0	0	0	0.9	8	6	0	180	2.2	3	3
1	8	1	0	0	0	0	0	0.75	9	7	0	360	2.4	4	3
1	9	1	0	0	0	0	0	0.6	10	7	0	540	2.7	4	3
1	10	1	0	0	0	0	0	0.5	11	9	0	0	3	5	3
2	1	1	1	57000	1	0	0	1	2	1	0	20	1	1	3
2	2	1	1	57000	3	0	0	1	3	2	0	40	1.2	1	3
2	3	1	1	57001	3	0	0	1	4	3	0	60	1.4	1	3
2	4	1	1	57001	5	0	0	1	5	4	0	60	1.6	1	3
2	5	1	1	57002	3	0	0	1	6	4	0	120	1.8	2	3
2	6	1	1	57002	5	0	0	1	7	5	0	180	2	2	3
2	7	1	1	57003	3	0	0	0.9	8	6	0	180	2.2	3	3
2	8	1	1	57003	5	0	0	0.75	9	7	0	360	2.4	4	3
2	9	1	1	57004	3	0	0	0.6	10	7	0	540	2.7	4	3
2	10	1	0	57004	5	0	0	0.5	11	9	0	0	3	5	3
3	1	1	1	57000	1	0	0	1	2	1	0	60	1	1	3
3	2	1	1	57000	3	0	0	1	3	2	0	120	1.2	1	3
3	3	1	1	57001	3	0	0	1	4	3	0	180	1.4	1	3
3	4	1	1	57001	5	0	0	1	5	4	0	180	1.6	1	3
3	5	1	1	57002	3	0	0	1	6	4	0	360	1.8	2	3
3	6	1	1	57002	5	0	0	1	7	5	0	540	2	2	3
3	7	1	1	57003	3	0	0	0.9	8	6	0	540	2.2	3	3
3	8	1	1	57003	5	0	0	0.75	9	7	0	1080	2.4	4	3
3	9	1	1	57004	3	0	0	0.6	10	7	0	1620	2.7	4	3
3	10	1	0	57004	5	0	0	0.5	11	9	0	0	3	5	3
4	1	1	1	57000	1	0	0	1	2	1	0	180	1	1	3
4	2	1	1	57000	3	0	0	1	3	2	0	360	1.2	1	3
4	3	1	1	57001	3	0	0	1	4	3	0	540	1.4	1	3
4	4	1	1	57001	5	0	0	1	5	4	0	540	1.6	1	3
4	5	1	1	57002	3	0	0	1	6	4	0	1080	1.8	2	3
4	6	1	1	57002	5	0	0	1	7	5	0	1620	2	2	3
4	7	1	1	57003	3	0	0	0.9	8	6	0	1620	2.2	3	3
4	8	1	1	57003	5	0	0	0.75	9	7	0	3240	2.4	4	3
4	9	1	1	57004	3	0	0	0.6	10	7	0	4860	2.7	4	3
4	10	1	0	57004	5	0	0	0.5	11	9	0	0	3	5	3
5	1	1	1	57000	1	0	0	1	2	1	0	540	1	1	3
5	2	1	1	57000	3	0	0	1	3	2	0	1080	1.2	1	3
5	3	1	1	57001	3	0	0	1	4	3	0	1620	1.4	1	3
5	4	1	1	57001	5	0	0	1	5	4	0	1620	1.6	1	3
5	5	1	1	57002	3	0	0	1	6	4	0	3240	1.8	2	3
5	6	1	1	57002	5	0	0	1	7	5	0	4860	2	2	3
5	7	1	1	57003	3	0	0	0.9	8	6	0	4860	2.2	3	3
5	8	1	1	57003	5	0	0	0.75	9	7	0	9720	2.4	4	3
5	9	1	1	57004	3	0	0	0.6	10	7	0	14580	2.7	4	3
5	10	1	0	57004	5	0	0	0.5	11	9	0	0	3	5	3
6	1	1	1	57000	1	0	0	1	2	1	0	1620	1	1	3
6	2	1	1	57000	3	0	0	1	3	2	0	3240	1.2	1	3
6	3	1	1	57001	3	0	0	1	4	3	0	4860	1.4	1	3
6	4	1	1	57001	5	0	0	1	5	4	0	4860	1.6	1	3
6	5	1	1	57002	3	0	0	1	6	4	0	9720	1.8	2	3
6	6	1	1	57002	5	0	0	1	7	5	0	14580	2	2	3
6	7	1	1	57003	3	0	0	0.9	8	6	0	14580	2.2	3	3
6	8	1	1	57003	5	0	0	0.75	9	7	0	29160	2.4	4	3
6	9	1	1	57004	3	0	0	0.6	10	7	0	43740	2.7	4	3
6	10	1	0	57004	5	0	0	0.5	11	9	0	0	3	5	3
1	1	10	0	0	0	0	0	1	2	1	100	20	1	1	3
1	2	10	0	0	0	0	0	1	3	2	200	40	1.2	1	3
1	3	10	0	0	0	0	0	1	4	3	300	60	1.4	1	3
1	4	10	0	0	0	0	0	1	5	4	400	60	1.6	1	3
1	5	10	0	0	0	0	0	1	6	4	500	120	1.8	2	3
1	6	10	0	0	0	0	0	1	7	5	600	180	2	2	3
