ID	typeID	property	title	targetMessage	missionMessage	NPCUncompleted	NPCCompleted	NPCRecive	NPCDisclaim	NPCUncompletedAsk	NPCCompletedAsk	killTargetTitle1	killTargetTitle2	killTargetTitle3	itemTargetTitle1	itemTargetTitle2	itemTargetTitle3	isDynamic	nextID	reciveNPCID	receiveNPCSceneID	referNPCID	referNPCSceneID	needJob	needLevel	needMissionID	needSpeciality	needSpecialityValue	needTongLevel	referType	referItemID1	referItemCount1	referItemID2	referItemCount2	referItemID3	referItemCount3	receiveItemID	receiveItemCount	referKillID1	referKillCount1	referKillID2	referKillCount2	referKillID3	referKillCount3	referDuplicateID	awardChooseItemID1	awardChooseItemID2	awardChooseItemID3	awardChooseItemJob1	awardChooseItemJob2	awardChooseItemJob3	awardItemID1	awardItemID2	awardItemCount1	awardItemCount2	awardPetID	awardMoney	awardIngot	awardExp	awardBuff	awardTitle	awardTongExp	missionSceneID	missionConveyDoorID	missionDuplicateID
999	1001	1	出手相助	    帮助这个村子	    这位义士，看你这身装束，定是身手不凡。\n    本村前几日有恶虎进村伤人，还请义士能够出手相助。	    平日里山中野兽从不进村，前几日却有恶虎窜进村里，连伤数人，惨不忍睹。村民们这几天都担惊受怕。	    这么说义士答应了！老头儿替村民们谢谢你了。	接受	拒绝	离开	交任务	0	0	0	0	0	0	0	1001	2	100201	2	100201	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10041	100	0	25	0	0	0	100201	0	0
1001	1001	1	找到李大锤	    找到村中的铁匠李大锤，让他带你进山	    这恶虎就在这万兽山中。万兽山中人迹罕至，容易迷路。\n    你去找村中的李大锤吧，他原本是猎户出身，能会带你进山。	    李大锤家就在前方。	    找俺有啥事？	接受	拒绝	离开	交任务	0	0	0	0	0	0	0	1002	2	100201	1	100201	0	1	999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	1	0	0	100	0	25	0	21	0	100201	0	0
1002	1001	1	杀死恶虎	    找到并杀死伤人的恶虎	    前几日我出村办事没在村子里，谁知道那大虫竟然进村伤人，真气死俺了！	    这次进山定然要寻到那大虫。	    幸好有你在，不然俺可就没命了。	接受	拒绝	离开	交任务	杀死虎啸峰吊睛白额虎	0	0	0	0	0	1	1003	1	100201	1	100201	0	1	1001	0	0	0	0	0	0	0	0	0	0	0	0	210101	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	200	0	100	0	0	0	100201	1	1
1003	1001	1	询问土地公	    将山中的情况回报给土地公	    进山以后我总感觉有什么不对劲，我在山中做了六年猎户，感觉肯定不会错。\n    万兽山归土地公管辖，你去找他问问.	    土地公怎么说？	    咳！咳！近几天真是风干物燥。	接受	拒绝	离开	交任务	0	0	0	0	0	0	0	1004	1	100201	2	100201	0	2	1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	50	0	0	0	100201	0	0
1004	1001	1	山中的异常	    从万兽山的野兽身上取一些兽血	    老头我也觉得有点奇怪，以前山里的猴儿老是来我这讨吃的，这几天一只猴儿都见不到。[player]，帮我去山里看看它们吧。	    越来越觉得奇怪了。	    这是什么东西，拿来我瞧瞧。	接受	拒绝	离开	交任务	0	0	0	到野猪林取得一瓶兽血	0	0	0	1006	2	100201	2	100201	0	2	1003	0	0	0	0	120100	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10004	0	1	0	0	300	0	130	0	0	0	100201	1	2
1006	1001	1	有煞气！	    将兽血送回给土地公	    这是山中的兽血？怎么是绿色的？让我使用灵力感应一下，不好这血中的煞气好厉害。	    一定要查清楚。	    血中有煞气？看来此事定有蹊跷。	接受	拒绝	离开	交任务	0	0	0	0	0	0	0	1007	2	100201	2	100202	0	3	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10700	10701	10702	57000	0	3	0	0	100	0	100	0	0	0	100201	0	0
1007	1001	1	找出原因	    找到山中野兽为何被染煞	    这山中必然有染煞之物在作乱。\n    [player]你速速进山找到此物，老头子我随后就来。	    我的拐杖哪去了？刚才还在的。	    这娃儿真是调皮可爱，老头我是越看越欢喜，送个小礼给这娃娃吧。	接受	拒绝	离开	交任务	到群妖岭找出染煞缘由	0	0	0	0	0	0	1008	2	100201	2	100202	0	3	1006	0	0	0	0	0	0	0	0	0	0	0	0	230303	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10041	300	0	135	0	0	0	100201	1	3
1008	1001	1	老李家的儿媳妇	    询问李家儿媳妇	    老李家的儿媳妇刚才来找老头子，说是有一事要求你帮忙。她就在村边的牙台上。	    这女子似乎很着急，义士你快点去吧。	    多谢恩人愿意相助。	接受	拒绝	离开	交任务	0	0	0	0	0	0	0	1009	2	100201	3	100202	0	4	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	50	0	0	0	100201	0	0
1009	1001	1	妻子的担忧	    去武阳峪给李存义送信	    恩人，我家公公被恶虎咬伤，这几日都卧床不起。我家相公又在外走镖，家中就我一个妇道人家，真是不知如何是好。\n    求恩人将这封书信带给我家相公，他现在应该在武阳峪。	    <刘氏抹泪不已>	    来者何人！	接受	拒绝	离开	交任务	0	0	0	0	0	0	0	1010	3	100201	6	100202	0	4	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	40	0	0	0	100202	0	0
1010	1002	1	可恶的匪徒	    倾听李存义的诉说	    多谢少侠辛苦送信，但现在我还暂时不能回去。\n    我的镖队昨天回来时被一群土匪截了，我怕那匪徒又进村劫寨，需得在此防卫，走不开身。	    我得守住村子，防那土匪又来侵扰。	    失散的伙计们不知状况如何。	接受	拒绝	离开	交任务	0	0	0	0	0	0	0	1011	6	100202	6	100202	0	4	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	100	0	40	0	0	0	100202	0	0
