level	expParam	moneyParam	gangExpParam
1	62	12	56
2	66	18	63
3	70	24	70
4	74	30	77
5	78	36	84
6	82	42	91
7	86	48	98
8	90	54	105
9	94	60	112
10	98	66	119
11	102	72	126
12	106	78	133
13	110	84	140
14	114	90	147
15	118	96	154
16	122	102	161
17	126	108	168
18	130	114	175
19	134	120	182
20	138	126	189
21	142	132	196
22	146	138	203
23	150	144	210
24	154	150	217
25	158	156	224
26	162	162	231
27	166	168	238
28	170	174	245
29	174	180	252
30	178	186	259
31	182	192	266
32	186	198	273
33	190	204	280
34	194	210	287
35	198	216	294
36	202	222	301
37	206	228	308
38	210	234	315
39	214	240	322
40	218	246	329
41	222	252	336
42	226	258	343
43	230	264	350
44	234	270	357
45	238	276	364
46	242	282	371
47	246	288	378
48	250	294	385
49	254	300	392
50	258	306	399
51	262	312	406
52	266	318	413
53	270	324	420
54	274	330	427
55	278	336	434
56	282	342	441
57	286	348	448
58	290	354	455
59	294	360	462
60	298	366	469
61	302	372	476
62	306	378	483
63	310	384	490
64	314	390	497
65	318	396	504
66	322	402	511
67	326	408	518
68	330	414	525
69	334	420	532
70	338	426	539
71	342	432	546
72	346	438	553
73	350	444	560
74	354	450	567
75	358	456	574
76	362	462	581
77	366	468	588
78	370	474	595
79	374	480	602
80	378	486	609
81	382	492	616
82	386	498	623
83	390	504	630
84	394	510	637
85	398	516	644
86	402	522	651
87	406	528	658
88	410	534	665
89	414	540	672
90	418	546	679
91	422	552	686
92	426	558	693
93	430	564	700
94	434	570	707
95	438	576	714
96	442	582	721
97	446	588	728
98	450	594	735
99	454	600	742
100	458	606	749
101	462	612	756
102	466	618	763
103	470	624	770
104	474	630	777
105	478	636	784
106	482	642	791
107	486	648	798
108	490	654	805
109	494	660	812
110	498	666	819
111	502	672	826
112	506	678	833
113	510	684	840
114	514	690	847
115	518	696	854
116	522	702	861
117	526	708	868
118	530	714	875
119	534	720	882
120	538	726	889
121	542	732	896
122	546	738	903
123	550	744	910
124	554	750	917
125	558	756	924
126	562	762	931
127	566	768	938
128	570	774	945
129	574	780	952
130	578	786	959
131	582	792	966
132	586	798	973
133	590	804	980
134	594	810	987
135	598	816	994
136	602	822	1001
137	606	828	1008
138	610	834	1015
139	614	840	1022
140	618	846	1029
