Level	MaxShakeEveryDay	FirstCostRealMoney	CostRealMoney
1	10	2	2
2	10	2	2
3	10	2	2
4	10	2	2
5	10	2	2
6	10	2	2
7	10	2	2
8	10	2	2
9	10	2	2
10	10	2	2
11	10	2	2
12	10	2	2
13	10	2	2
14	10	2	2
15	10	2	2
16	10	2	2
17	10	2	2
18	10	2	2
19	10	2	2
20	10	2	2
21	10	2	2
22	10	2	2
23	10	2	2
24	10	2	2
25	10	2	2
26	10	2	2
27	10	2	2
28	10	2	2
29	10	2	2
30	10	2	2
31	10	2	2
32	10	2	2
33	10	2	2
34	10	2	2
35	10	2	2
36	10	2	2
37	10	2	2
38	10	2	2
39	10	2	2
40	10	2	2
41	10	2	2
42	10	2	2
43	10	2	2
44	10	2	2
45	10	2	2
46	10	2	2
47	10	2	2
48	10	2	2
49	10	2	2
50	10	2	2
51	10	2	2
52	10	2	2
53	10	2	2
54	10	2	2
55	10	2	2
56	10	2	2
57	10	2	2
58	10	2	2
59	10	2	2
60	10	2	2
61	10	2	2
62	10	2	2
63	10	2	2
64	10	2	2
65	10	2	2
66	10	2	2
67	10	2	2
68	10	2	2
69	10	2	2
70	10	2	2
71	10	2	2
72	10	2	2
73	10	2	2
74	10	2	2
75	10	2	2
76	10	2	2
77	10	2	2
78	10	2	2
79	10	2	2
80	10	2	2
81	10	2	2
82	10	2	2
83	10	2	2
84	10	2	2
85	10	2	2
86	10	2	2
87	10	2	2
88	10	2	2
89	10	2	2
90	10	2	2
91	10	2	2
92	10	2	2
93	10	2	2
94	10	2	2
95	10	2	2
96	10	2	2
97	10	2	2
98	10	2	2
99	10	2	2
100	10	2	2
101	10	2	2
102	10	2	2
103	10	2	2
104	10	2	2
105	10	2	2
106	10	2	2
107	10	2	2
108	10	2	2
109	10	2	2
110	10	2	2
111	10	2	2
112	10	2	2
113	10	2	2
114	10	2	2
115	10	2	2
116	10	2	2
117	10	2	2
118	10	2	2
119	10	2	2
120	10	2	2
121	10	2	2
122	10	2	2
123	10	2	2
124	10	2	2
125	10	2	2
126	10	2	2
127	10	2	2
128	10	2	2
129	10	2	2
130	10	2	2
131	10	2	2
132	10	2	2
133	10	2	2
134	10	2	2
135	10	2	2
136	10	2	2
137	10	2	2
138	10	2	2
139	10	2	2
140	10	2	2
