Level	Attack_3_0	Attack_3_1	Attack_3_2	Defense_3_0	Defense_3_1	Defense_3_2	FSDefense_3_0	FSDefense_3_1	FSDefense_3_2	Life_3_0	Life_3_1	Life_3_2	Exp_3_0	Exp_3_1	Exp_3_2
1	19	24	24	32	40	40	23	29	29	65	82	82	10	15	23
2	27	34	34	44	55	55	31	39	39	85	107	107	15	23	35
3	34	43	43	55	69	69	39	49	49	105	132	132	20	30	45
4	42	53	53	67	84	84	47	59	59	126	158	158	25	38	57
5	50	63	63	78	98	98	55	69	69	146	183	183	30	45	68
6	58	73	73	90	113	113	63	79	79	166	208	208	35	53	80
7	66	83	83	101	127	127	71	89	89	186	233	233	40	60	90
8	73	92	92	113	142	142	79	99	99	206	258	258	45	68	102
9	81	102	102	125	157	157	87	109	109	227	284	284	50	75	113
10	102	128	128	156	195	195	109	137	137	282	353	353	55	83	125
11	111	139	139	170	213	213	119	149	149	308	385	385	65	98	147
12	121	152	152	184	230	230	129	162	162	335	419	419	75	113	170
13	131	164	164	199	249	249	139	174	174	361	452	452	85	128	192
14	141	177	177	213	267	267	149	187	187	387	484	484	95	143	215
15	151	189	189	228	285	285	160	200	200	413	517	517	105	158	237
16	161	202	202	242	303	303	170	213	213	440	550	550	115	173	260
17	171	214	214	257	322	322	180	225	225	466	583	583	125	188	282
18	180	225	225	271	339	339	190	238	238	492	615	615	135	203	305
19	190	238	238	285	357	357	200	250	250	518	648	648	145	218	327
20	225	282	282	337	422	422	236	295	295	612	765	765	155	233	350
21	255	319	275	388	485	825	272	340	660	686	858	1100	170	255	383
22	284	355	300	439	549	900	307	384	720	760	950	1200	185	278	417
23	314	393	325	489	612	975	343	429	780	834	1043	1300	200	300	450
24	343	429	350	540	675	1050	378	473	840	908	1135	1400	215	323	485
25	373	467	375	591	739	1125	414	518	900	981	1227	1500	230	345	518
26	402	503	400	641	802	1200	449	562	960	1055	1319	1600	245	368	552
27	432	540	425	692	865	1275	485	607	1020	1129	1412	1700	260	390	585
28	461	577	450	743	929	1350	520	650	1080	1203	1504	1800	275	413	620
29	491	614	475	794	993	1425	556	695	1140	1277	1597	1900	290	435	653
30	549	687	500	891	1114	1500	624	780	1200	1425	1782	2000	305	458	687
31	607	759	538	983	1229	1613	689	862	1290	1575	1969	2150	325	488	732
32	665	832	575	1076	1345	1725	753	942	1380	1724	2155	2300	345	518	777
33	722	903	613	1168	1460	1838	818	1023	1470	1874	2343	2450	365	548	822
34	780	975	650	1260	1575	1950	882	1103	1560	2023	2529	2600	385	578	867
35	837	1047	688	1353	1692	2063	947	1184	1650	2172	2715	2750	405	608	912
36	895	1119	725	1445	1807	2175	1012	1265	1740	2322	2903	2900	425	638	957
37	953	1192	763	1537	1922	2288	1076	1345	1830	2471	3089	3050	445	668	1002
38	1010	1263	800	1629	2037	2400	1141	1427	1920	2620	3275	3200	465	698	1047
39	1068	1335	838	1722	2153	2513	1205	1507	2010	2770	3463	3350	485	728	1092
40	1184	1480	875	1909	2387	2625	1337	1672	2100	3072	3840	3500	505	758	1137
41	1252	1565	938	2026	2533	2813	1418	1773	2250	3228	4035	3750	530	795	1193
42	1320	1650	1000	2142	2678	3000	1499	1874	2400	3384	4230	4000	555	833	1250
43	1388	1735	1063	2258	2823	3188	1581	1977	2550	3540	4425	4250	580	870	1305
44	1456	1820	1125	2374	2968	3375	1662	2078	2700	3696	4620	4500	605	908	1362
45	1524	1905	1188	2490	3113	3563	1743	2179	2850	3852	4815	4750	630	945	1418
46	1592	1990	1250	2606	3258	3750	1825	2282	3000	4008	5010	5000	655	983	1475
47	1660	2075	1313	2723	3404	3938	1906	2383	3150	4164	5205	5250	680	1020	1530
48	1728	2160	1375	2380	2975	4125	1666	2083	3300	4320	5400	5500	705	1058	1587
49	1796	2245	1438	2496	3120	4313	1747	2184	3450	4476	5595	5750	730	1095	1643
50	1864	2330	1500	3071	3839	4500	2150	2688	3600	4632	5790	6000	755	1133	1700
51	2044	2555	1582	3445	4307	4744	2412	3015	3795	5127	6409	6325	785	1178	1767
52	2224	2780	1663	3820	4775	4988	2674	3343	3990	5622	7028	6650	815	1223	1835
53	2404	3005	1744	4194	5243	5232	2936	3670	4185	6117	7647	6975	845	1268	1902
54	2584	3230	1825	4569	5712	5475	3198	3998	4380	6612	8265	7300	875	1313	1970
55	2764	3455	1907	4943	6179	5719	3460	4325	4575	7107	8884	7625	905	1358	2037
56	2944	3680	1988	5317	6647	5963	3722	4653	4770	7602	9503	7950	935	1403	2105
57	3124	3905	2069	5692	7115	6207	3984	4980	4965	8097	10122	8275	965	1448	2172
58	3304	4130	2150	6066	7583	6450	4247	5309	5160	8592	10740	8600	995	1493	2240
59	3484	4355	2232	6441	8052	6694	4509	5637	5355	9087	11359	8925	1025	1538	2307
60	3664	4580	2313	6815	8519	6938	4771	5964	5550	9582	11978	9250	1055	1583	2375
61	3791	4739	2413	7059	8824	7238	4941	6177	5790	9901	12377	9650	1090	1635	2453
62	3917	4897	2513	7302	9128	7538	5112	6390	6030	10220	12775	10050	1125	1688	2532
63	4044	5055	2613	7546	9433	7838	5282	6603	6270	10539	13174	10450	1160	1740	2610
64	4170	5213	2713	7789	9737	8138	5453	6817	6510	10858	13573	10850	1195	1793	2690
65	4297	5372	2813	8033	10042	8438	5623	7029	6750	11177	13972	11250	1230	1845	2768
66	4423	5529	2913	8276	10345	8738	5794	7243	6990	11496	14370	11650	1265	1898	2847
67	4550	5688	3013	8520	10650	9038	5964	7455	7230	11815	14769	12050	1300	1950	2925
68	4676	5845	3113	8763	10954	9338	6134	7668	7470	12134	15168	12450	1335	2003	3005
69	4803	6004	3213	9007	11259	9638	6305	7882	7710	12453	15567	12850	1370	2055	3083
70	4929	6162	3313	9250	11563	9938	6475	8094	7950	12772	15965	13250	1405	2108	3162
71	5228	6535	3463	9790	12238	10388	6853	8567	8310	13575	16969	13850	1445	2168	3252
72	5527	6909	3613	10329	12912	10838	7230	9038	8670	14377	17972	14450	1485	2228	3342
73	5826	7283	3763	10868	13585	11288	7608	9510	9030	15179	18974	15050	1525	2288	3432
74	6124	7655	3913	11408	14260	11738	7986	9983	9390	15981	19977	15650	1565	2348	3522
75	6423	8029	4063	11947	14934	12188	8363	10454	9750	16783	20979	16250	1605	2408	3612
76	6722	8403	4213	12486	15608	12638	8741	10927	10110	17585	21982	16850	1645	2468	3702
77	7020	8775	4363	13026	16283	13088	9118	11398	10470	18388	22985	17450	1685	2528	3792
78	7319	9149	4513	13565	16957	13538	9496	11870	10830	19190	23988	18050	1725	2588	3882
79	7618	9523	4663	14104	17630	13988	9873	12342	11190	19992	24990	18650	1765	2648	3972
80	7917	9897	4813	14644	18305	14438	10251	12814	11550	20794	25993	19250	1805	2708	4062
81	8307	10384	5000	15716	19645	15000	11001	13752	12000	22011	27514	20000	1850	2775	4163
82	8698	10873	5188	16788	20985	15563	11752	14690	12450	23229	29037	20750	1895	2843	4265
83	9088	11360	5375	17861	22327	16125	12503	15629	12900	24446	30558	21500	1940	2910	4365
