Index	Name	Title	ModelId	Zoom	Chartlet	Head	Color	Radius	Race	Sex	Type	Level	OfficeLevel	Exp	IsDynamic	BattleSkill_3_0	BattleSkillLevel_3_0	BattleSkill_3_1	BattleSkillLevel_3_1	BattleSkill_3_2	BattleSkillLevel_3_2	PassiveSkill_5_0	PassiveSkillLevel_5_0	PassiveSkill_5_1	PassiveSkillLevel_5_1	PassiveSkill_5_2	PassiveSkillLevel_5_2	PassiveSkill_5_3	PassiveSkillLevel_5_3	PassiveSkill_5_4	PassiveSkillLevel_5_4	MaxHp	InitAngerValue	MaxAngerValue	AngerGet	QuestDrop_3_0	QuestDrop_3_1	QuestDrop_3_2	TCDrop	FirstBossTCDrop
990	黄纹虎测试	0	73001	1	0	0	0	1	0	0	1	5	1	55	1	1001	1	0	0	40001	1	65535	1	0	0	0	0	0	0	0	0	1980	40	100	10	0	0	0	1000	1000
991	雪虎测试	0	73002	1	0	0	0	1	0	0	1	5	1	55	1	1001	1	0	0	40001	1	65535	1	0	0	0	0	0	0	0	0	1980	40	100	10	0	0	0	1001	1001
992	紫幽虎测试	0	73003	1	0	0	0	1	0	0	1	5	2	55	1	1001	1	0	0	40001	1	65535	1	0	0	0	0	0	0	0	0	1980	40	100	10	0	0	0	1001	1001
993	笨拙的熊怪测试	0	73005	1	0	0	0	1	0	0	1	5	1	55	1	1011	1	0	0	0	1	65535	1	0	0	0	0	0	0	0	0	1980	40	100	20	0	0	0	1000	1000
994	疯狂的熊怪测试	0	73006	1	0	0	0	1	0	0	1	5	2	55	1	1011	1	0	0	0	1	65535	1	0	0	0	0	0	0	0	0	1980	40	100	20	0	0	0	1000	1000
995	安静的熊怪测试	0	73007	1	0	0	0	1	0	0	1	5	1	55	1	1011	1	0	0	0	1	65535	1	0	0	0	0	0	0	0	0	1980	40	100	20	0	0	0	1001	1001
996	南山大王测试	0	73029	1	0	0	0	1	0	0	1	5	2	55	1	1061	1	0	0	0	1	65535	1	0	0	0	0	0	0	0	0	1980	40	100	20	0	0	0	1001	1001
210101	吊睛白额虎	0	73001	1.6	0	0	0	1	0	0	2	1	1	10	1	1001	1	0	0	40001	1	65535	1	0	0	0	0	0	0	0	0	65	60	100	20	0	0	0	2000	0
210102	熊怪	0	73007	1.2	0	0	0	1	0	0	1	1	1	10	1	1011	1	0	0	40011	1	65535	1	0	0	0	0	0	0	0	0	78	60	100	20	0	0	0	2000	0
210103	毒蜂	0	73058	1	0	0	0	1	0	0	2	1	1	10	1	1141	1	0	0	40121	1	65535	1	0	0	0	0	0	0	0	0	65	60	100	20	0	0	0	2000	0
210201	发狂的野猪	0	73076	1	0	0	0	1	0	0	2	2	1	15	1	1191	1	0	0	40171	1	65535	1	0	0	0	0	0	0	0	0	85	60	100	20	0	0	0	2001	0
210202	尖牙野猪王	0	73079	1.5	0	0	0	1	0	0	2	2	1	15	1	1191	1	0	0	40172	1	65535	1	0	0	0	0	0	0	0	0	85	60	100	20	120100	0	0	2001	0
210203	发狂的野猪      	0	73078	1	0	0	0	1	0	0	2	2	1	15	1	1191	1	0	0	40171	1	65535	1	0	0	0	0	0	0	0	0	85	60	100	20	0	0	0	2001	0
230303	人参娃娃	0	73238	1.1	0	0	0	1	0	0	4	3	2	20	1	1581	1	0	0	40581	1	65535	1	0	0	0	0	0	0	0	0	79	60	100	20	0	0	0	4001	4004
210401	看门犬	0	73181	1	0	0	0	1	0	0	2	4	1	25	1	1441	1	0	0	40441	1	65535	1	0	0	0	0	0	0	0	0	126	60	100	20	0	0	0	2001	0
210402	土匪喽喽	0	73017	1	0	0	0	1	0	0	1	4	1	25	1	1041	1	0	0	40041	1	65535	1	0	0	0	0	0	0	0	0	151	60	100	20	0	0	0	2001	0
210403	土匪哨兵	0	73034	1	0	0	0	1	0	0	1	4	1	25	1	1071	1	0	0	40033	1	65535	1	0	0	0	0	0	0	0	0	151	60	100	20	0	0	0	2001	0
210404	土匪喽喽	0	73161	1	0	0	0	1	0	0	2	4	1	25	1	1391	1	0	0	40391	1	65535	1	0	0	0	0	0	0	0	0	126	60	100	20	0	0	0	2001	0
210501	女流氓	0	73242	1	0	0	0	1	0	0	2	5	1	30	1	1591	1	0	0	40591	1	65535	1	0	0	0	0	0	0	0	0	146	60	100	20	0	0	0	2001	0
210502	红衣土匪	0	73019	1	0	0	0	1	0	0	2	5	1	30	1	1041	1	0	0	40043	1	65535	1	0	0	0	0	0	0	0	0	146	60	100	20	0	0	0	2001	0
210503	土匪军师	0	73020	1	0	0	0	1	0	0	2	5	1	30	1	1041	1	0	0	40044	1	65535	1	0	0	0	0	0	0	0	0	146	60	100	20	0	0	0	2001	0
230601	猪刚烈	0	73092	1.8	0	0	0	1	0	0	1	6	2	35	1	1231	1	0	0	40211	1	65535	1	0	0	0	0	0	0	0	0	175	60	100	20	0	0	0	4007	4010
210701	游荡的女鬼	0	73025	1	0	0	0	1	0	0	4	7	1	40	1	1051	1	0	0	40051	1	65535	1	0	0	0	0	0	0	0	0	140	60	100	20	0	0	0	2001	0
210702	红衣厉鬼	0	73026	1.4	0	0	0	1	0	0	4	7	1	40	1	1051	1	0	0	40052	1	65535	1	0	0	0	0	0	0	0	0	140	60	100	20	0	0	0	2001	0
210703	肉尸	0	73173	1	0	0	0	1	0	0	2	7	1	40	1	1421	1	0	0	40421	1	65535	1	0	0	0	0	0	0	0	0	186	60	100	20	0	0	0	2001	0
210704	大墓蛇	0	73169	1.2	0	0	0	1	0	0	2	7	1	40	1	1261	1	0	0	40411	1	65535	1	0	0	0	0	0	0	0	0	186	60	100	20	0	0	0	2001	0
210801	古墓精魅	0	73051	1	0	0	0	1	0	0	1	8	1	45	1	1121	1	0	0	40112	1	65535	1	0	0	0	0	0	0	0	0	248	60	100	20	120101	0	0	2001	0
210802	骷髅恶鬼	0	73073	1	0	0	0	1	0	0	2	8	1	45	1	1261	1	0	0	40162	1	65535	1	0	0	0	0	0	0	0	0	206	60	100	20	0	0	0	2001	0
210901	游荡的女鬼	0	73026	1	0	0	0	1	0	0	3	8	1	45	1	1261	1	0	0	40053	1	65535	1	0	0	0	0	0	0	0	0	186	60	100	20	0	0	0	2001	0
210902	深墓邪兽	0	73100	1.3	0	0	0	1	0	0	1	9	1	50	1	1261	1	0	0	40242	1	65535	1	0	0	0	0	0	0	0	0	272	60	100	20	0	0	0	2001	0
210903	小邪兽	0	73100	1	0	0	0	1	0	0	2	9	1	50	1	1261	1	0	0	40241	1	65535	1	0	0	0	0	0	0	0	0	227	60	100	20	0	0	0	2001	0
2301001	白骨精	0	73210	1.5	0	0	0	1	0	0	3	10	2	55	1	1511	1	0	0	40511	1	65535	1	59010	1	0	0	0	0	0	0	254	60	100	20	0	0	0	4013	4016
2101002	赤冠蛇	0	73172	1	0	0	0	1	0	0	2	10	1	55	1	1261	1	0	0	40411	1	65535	1	0	0	0	0	0	0	0	0	282	40	100	20	120103	120110	0	2003	0
2101003	幼蛛	0	73040	1	0	0	0	1	0	0	2	10	1	55	1	1091	1	0	0	40091	1	65535	1	0	0	0	0	0	0	0	0	282	40	100	20	120107	0	0	2003	0
2101004	帝女蛛	0	73042	1.3	0	0	0	1	0	0	2	10	1	55	1	1091	1	0	0	40092	1	65535	1	0	0	0	0	0	0	0	0	282	40	100	20	120103	120107	0	2003	0
2101005	土蝠	0	73062	1	0	0	0	1	0	0	2	10	1	55	1	1151	1	0	0	40131	1	65535	1	0	0	0	0	0	0	0	0	282	40	100	20	120102	0	0	2003	0
2101006	沼泽火蜥	0	73048	1.2	0	0	0	1	0	0	1	10	1	55	1	1111	1	0	0	40102	1	65535	1	0	0	0	0	0	0	0	0	338	40	100	20	120102	120104	120110	2003	0
2101101	纹蛇	0	73170	1	0	0	0	1	0	0	2	11	1	65	1	1261	1	0	0	40411	1	65535	1	0	0	0	0	0	0	0	0	308	40	100	20	120110	120105	120108	2003	0
2101102	火蜥幼兽	0	73047	1	0	0	0	1	0	0	2	11	1	65	1	1111	1	0	0	40101	1	65535	1	0	0	0	0	0	0	0	0	308	40	100	20	120104	120110	0	2003	0
2101201	毒娘子	0	73186	1.4	0	0	0	1	0	0	2	12	1	75	1	1451	1	0	0	40451	1	65535	1	0	0	0	0	0	0	0	0	335	40	100	20	0	0	0	2003	0
2101202	翼赤蝠	0	73065	1	0	0	0	1	0	0	2	12	1	75	1	1151	1	0	0	40132	1	65535	1	0	0	0	0	0	0	0	0	335	40	100	20	0	0	0	2003	0
2101301	蟒精	0	73080	1	0	0	0	1	0	0	2	13	1	85	1	1201	1	0	0	40181	1	65535	1	0	0	0	0	0	0	0	0	361	40	100	20	120106	0	0	2003	0
2101401	毒蟾精	0	73177	1	0	0	0	1	0	0	2	14	1	95	1	5003	1	0	0	50021	1	65535	1	0	0	0	0	0	0	0	0	387	40	100	20	120102	0	0	2003	0
2101402	毒雾娘	0	73185	1	0	0	0	1	0	0	2	14	1	95	1	1451	1	0	0	40451	1	65535	1	0	0	0	0	0	0	0	0	387	40	100	20	120102	0	0	2003	0
2101501	金不唤	0	73180	2	0	0	0	1	0	0	2	15	2	105	1	5003	1	0	0	50021	1	65535	1	0	0	0	0	0	0	0	0	413	40	100	20	0	0	0	4019	4022
2101502	护殿神蜥	0	73050	1	0	0	0	1	0	0	1	15	1	105	1	1111	1	0	0	40103	1	65535	1	0	0	0	0	0	0	0	0	496	40	100	20	0	0	0	2003	0
2101503	铁颚勇士	0	73049	1	0	0	0	1	0	0	2	15	1	105	1	1111	1	0	0	40102	1	65535	1	0	0	0	0	0	0	0	0	413	40	100	20	0	0	0	2003	0
2101504	水将军	0	73049	1.2	0	0	0	1	0	0	2	15	1	105	1	1111	1	0	0	40101	1	65535	1	0	0	0	0	0	0	0	0	413	40	100	20	0	0	0	2003	0
2101601	小飞龙	0	73234	1	0	0	0	1	0	0	1	16	1	115	1	1571	1	0	0	40571	1	65535	1	0	0	0	0	0	0	0	0	527	40	100	20	0	0	0	2003	0
2101602	大飞灵	0	73233	1	0	0	0	1	0	0	2	16	1	115	1	1571	1	0	0	40571	1	65535	1	0	0	0	0	0	0	0	0	440	40	100	20	0	0	0	2003	0
2101603	蓝龙绯羽	0	73233	1.3	0	0	0	1	0	0	3	16	1	115	1	1571	1	0	0	40571	1	65535	1	0	0	0	0	0	0	0	0	396	40	100	20	0	0	0	2003	0
2101701	异兽紫貐	0	73097	1	0	0	0	1	0	0	3	17	1	125	1	1251	1	0	0	40232	1	65535	1	0	0	0	0	0	0	0	0	419	40	100	20	0	0	0	2003	0
2101702	异兽蓝貐	0	73098	1	0	0	0	1	0	0	4	17	1	125	1	1252	1	0	0	40233	1	65535	1	0	0	0	0	0	0	0	0	349	40	100	20	0	0	0	2003	0
2101703	貐王	0	73099	1.2	0	0	0	1	0	0	2	17	1	125	1	1252	1	0	0	40231	1	65535	1	0	0	0	0	0	0	0	0	466	40	100	20	0	0	0	2003	0
2101801	灵虎	0	73138	1	0	0	0	1	0	0	2	18	1	135	1	1001	1	0	0	40001	1	65535	1	0	0	0	0	0	0	0	0	492	40	100	20	0	0	0	2003	0
2101802	虎英	0	73139	1	0	0	0	1	0	0	2	18	1	135	1	1001	1	0	0	40002	1	65535	1	0	0	0	0	0	0	0	0	492	40	100	20	0	0	0	2003	0
2101803	白圣王	0	73139	1.2	0	0	0	1	0	0	1	18	1	135	1	1001	1	0	0	40311	1	65535	1	0	0	0	0	0	0	0	0	590	40	100	20	120109	0	0	2003	0
2101901	豹灵	0	73031	1	0	0	0	1	0	0	2	19	1	145	1	5001	1	0	0	50001	1	65535	1	0	0	0	0	0	0	0	0	518	40	100	20	0	0	0	2003	0
2101902	鹿灵	0	73046	1	0	0	0	1	0	0	2	19	1	145	1	1101	1	0	0	40341	1	65535	1	0	0	0	0	0	0	0	0	518	40	100	20	0	0	0	2003	0
2101903	角王	0	73046	1.3	0	0	0	1	0	0	2	19	1	145	1	1101	1	0	0	40341	1	65535	1	0	0	0	0	0	0	0	0	518	40	100	20	0	0	0	2003	0
2302001	危月燕	0	73088	1.8	0	0	0	1	0	0	3	20	2	155	1	1221	1	0	0	40201	1	65535	1	0	0	0	0	0	0	0	0	551	40	100	20	0	0	0	4031	4034
2102002	看守犬	0	73183	1	0	0	0	1	0	0	2	20	1	155	1	1001	1	0	0	40001	1	65535	1	0	0	0	0	0	0	0	0	500	40	100	20	0	0	0	2006	0
2102003	守卫甲	0	73165	1	0	0	0	1	0	0	2	20	1	155	1	1041	1	0	0	40041	1	65535	1	0	0	0	0	0	0	0	0	500	40	100	20	0	0	0	2006	0
2102004	守卫乙	0	73168	1.2	0	0	0	1	0	0	2	20	1	155	1	1041	1	0	0	40041	1	65535	1	0	0	0	0	0	0	0	0	500	40	100	20	0	0	0	2006	0
2102005	监狱暴徒	0	73039	1	0	0	0	1	0	0	4	20	1	155	1	1081	1	0	0	40083	1	65535	1	0	0	0	0	0	0	0	0	500	40	100	20	0	0	0	2000	0
2102006	监狱暴徒	0	73071	1	0	0	0	1	0	0	2	20	1	155	1	1171	1	0	0	40151	1	65535	1	0	0	0	0	0	0	0	0	500	40	100	20	0	0	0	2006	0
2102101	牢头甲	0	73164	1	0	0	0	1	0	0	2	21	1	280	1	1391	1	0	0	40042	1	65535	1	0	0	0	0	0	0	0	0	880	40	100	20	0	0	0	2006	0
2102102	监狱死囚	0	73193	1	0	0	0	1	0	0	2	21	1	280	1	1471	1	0	0	40471	1	65535	1	0	0	0	0	0	0	0	0	880	40	100	20	0	0	0	2000	0
2102103	监狱暴徒	0	73029	1	0	0	0	1	0	0	2	21	1	280	1	5001	1	0	0	50001	1	65535	1	0	0	0	0	0	0	0	0	880	40	100	20	0	0	0	0	0
2102201	监狱重犯	0	73119	1	0	0	0	1	0	0	2	22	1	300	1	1281	1	0	0	40261	1	65535	1	0	0	0	0	0	0	0	0	960	40	100	20	0	0	0	3012	0
2102202	噬心魔女	0	73160	1	0	0	0	1	0	0	2	22	1	300	1	1384	1	0	0	40214	1	65535	1	0	0	0	0	0	0	0	0	960	40	100	20	0	0	0	2006	0
2102301	牢头乙	0	73163	1	0	0	0	1	0	0	2	22	1	300	1	1391	1	0	0	40043	1	65535	1	0	0	0	0	0	0	0	0	960	40	100	20	0	0	0	2006	0
2302501	地狱咆哮	0	73148	2	0	0	0	1	0	0	1	25	2	360	1	1321	1	0	0	40301	1	65535	1	0	0	0	0	0	0	0	0	1200	40	100	20	0	0	0	4037	4040
2102601	盾甲忠魂	0	73125	1	0	0	0	1	0	0	1	26	1	380	1	1301	1	0	0	40281	1	65535	1	0	0	0	0	0	0	0	0	1280	40	100	20	0	0	0	2006	0
2102602	长刀兵魂	0	73121	1	0	0	0	1	0	0	2	26	1	380	1	1291	1	0	0	40272	1	65535	1	0	0	0	0	0	0	0	0	1280	40	100	20	0	0	0	2006	0
2102603	把总军魂	0	73127	1.1	0	0	0	1	0	0	1	26	1	380	1	1301	1	0	0	40283	1	65535	1	0	0	0	0	0	0	0	0	1280	40	100	20	0	0	0	2006	0
2102604	食腐者	0	73079	1.2	0	0	0	1	0	0	2	26	1	380	1	1191	1	0	0	40173	1	65535	1	0	0	0	0	0	0	0	0	1280	40	100	20	0	0	0	2006	0
2102605	兵卒残魂	0	73073	1	0	0	0	1	0	0	2	26	1	380	1	1261	1	0	0	40162	1	65535	1	0	0	0	0	0	0	0	0	1280	40	100	20	0	0	0	4043	4046
2102606	食腐者	0	73079	1	0	0	0	1	0	0	2	26	1	380	1	1191	1	0	0	40173	1	65535	1	0	0	0	0	0	0	0	0	1280	40	100	20	0	0	0	2006	0
2102701	双头蛇	0	73171	1	0	0	0	1	0	0	2	27	1	400	1	1261	1	0	0	40411	1	65535	1	0	0	0	0	0	0	0	0	1360	40	100	20	0	0	0	2003	2003
2102801	护卫兵魂	0	73126	1	0	0	0	1	0	0	1	28	1	420	1	1301	1	0	0	40282	1	65535	1	0	0	0	0	0	0	0	0	1440	40	100	20	0	0	0	2006	0
2102802	千总亡魂	0	73123	1.1	0	0	0	1	0	0	2	28	1	420	1	1291	1	0	0	40273	1	65535	1	0	0	0	0	0	0	0	0	1440	40	100	20	0	0	0	2006	0
2102803	护卫兵魂	0	73122	1	0	0	0	1	0	0	2	28	1	420	1	1291	1	0	0	40272	1	65535	1	0	0	0	0	0	0	0	0	1440	40	100	20	0	0	0	2006	0
2102901	统帅烈魂	0	73075	1.1	0	0	0	1	0	0	2	29	1	445	1	1181	1	0	0	40162	1	65535	1	0	0	0	0	0	0	0	0	1520	40	100	20	0	0	0	4043	4046
2102902	参将忠魂	0	73124	1.1	0	0	0	1	0	0	2	27	1	400	1	1291	1	0	0	40271	1	65535	1	0	0	0	0	0	0	0	0	1360	40	100	20	0	0	0	2006	0
2103001	苍火长老	0	73131	1.3	0	0	0	1	0	0	4	34	2	570	1	1311	1	0	0	40291	1	65535	1	0	0	0	0	0	0	0	0	2080	40	100	20	0	0	0	4055	4058
2103002	雪虎	0	73002	1.2	0	0	0	1	0	0	2	30	1	470	1	1001	1	0	0	40004	1	65535	1	0	0	0	0	0	0	0	0	1600	40	100	20	0	0	0	2009	0
2103003	雪虎幼崽	0	73002	1	0	0	0	1	0	0	2	30	1	470	1	1001	1	0	0	40004	1	65535	1	0	0	0	0	0	0	0	0	1600	40	100	20	0	0	0	2009	0
2103004	雪貐	0	73096	1.2	0	0	0	1	0	0	2	30	1	470	1	1251	1	0	0	40231	1	65535	1	0	0	0	0	0	0	0	0	1600	40	100	20	0	0	0	2009	0
2103005	小雪貐	0	73096	1	0	0	0	1	0	0	2	30	1	470	1	1251	1	0	0	40231	1	65535	1	0	0	0	0	0	0	0	0	1600	40	100	20	0	0	0	2009	0
2103006	彝族猎手	0	73021	1	0	0	0	1	0	0	2	30	1	470	1	1041	1	0	0	40041	1	65535	1	0	0	0	0	0	0	0	0	1600	40	100	20	0	0	0	0	0
2103007	驯兽	0	73067	1	0	0	0	1	0	0	2	10	1	95	1	5009	1	0	0	50081	1	65535	1	59009	1	0	0	0	0	0	0	1980	40	100	20	0	0	0	0	0
2103101	彝族首领	0	73016	1.3	0	0	0	1	0	0	2	31	1	495	1	1031	1	0	0	40034	1	65535	1	0	0	0	0	0	0	0	0	1720	40	100	20	0	0	0	2009	0
2103102	彝族战士	0	73024	1.1	0	0	0	1	0	0	2	31	1	495	1	1041	1	0	0	40041	1	65535	1	0	0	0	0	0	0	0	0	1720	40	100	20	0	0	0	2009	0
2103201	驯兽	0	73137	1	0	0	0	1	0	0	2	30	1	470	1	1001	1	0	0	0	1	65535	1	0	0	0	0	0	0	0	0	1600	40	100	20	0	0	0	0	0
2103202	野生白熊精	0	73067	1	0	0	0	1	0	0	2	10	1	95	1	5009	1	0	0	50081	1	65535	1	59009	1	0	0	0	0	0	0	1980	40	100	20	0	0	0	0	0
2103203	蓝岩精	0	73149	1	0	0	0	1	0	0	2	32	1	520	1	1351	1	0	0	40331	1	65535	1	0	0	0	0	0	0	0	0	1840	40	100	20	0	0	0	2009	0
2103204	紫岩精	0	73151	1	0	0	0	1	0	0	2	32	1	520	1	1351	1	0	0	40331	1	65535	1	0	0	0	0	0	0	0	0	1840	40	100	20	0	0	0	2009	0
2103401	晶刚王	0	73153	1.4	0	0	0	1	0	0	2	32	1	520	1	1351	1	0	0	40331	1	65535	1	0	0	0	0	0	0	0	0	1840	40	100	20	0	0	0	2009	0
