Index	Name	Title	ModelId	Zoom	Chartlet	Color	MoveType	MoveSpeed	RunSpeed	TurnSpeed	Height	FollowRadius	AttackRadius	SeeRadius	GroupType	MonID_10_0	MonID_10_1	MonID_10_2	MonID_10_3	MonID_10_4	MonID_10_5	MonID_10_6	MonID_10_7	MonID_10_8	MonID_10_9
1	熊怪	0	73007	1.2	0	0	1	3	7	0	0	20	2	7	1	0	0	210102	0	0	0	0	0	0	0
2	毒蜂	0	73058	1	0	0	1	3	7	0	0	20	2	7	1	0	0	210103	0	0	0	0	0	0	0
3	吊睛白额虎	0	73001	1.6	0	0	1	3	7	0	0	20	2	7	1	0	0	210101	0	0	0	0	0	0	0
4	发狂的野猪	0	73076	1	0	0	1	3	7	0	0	20	2	7	1	0	0	210201	0	0	0	0	0	0	0
5	发狂的野猪	0	73078	1	0	0	1	3	7	0	0	20	2	7	1	0	0	210203	0	0	0	0	0	0	0
6	尖牙野猪王	0	73079	1.5	0	0	1	3	7	0	0	20	2	7	1	0	0	210202	0	0	0	0	0	0	0
7	熊怪	0	73007	1.2	0	0	1	3	7	0	0	20	2	7	1	0	0	210102	0	0	0	0	0	0	0
8	发狂的野猪	0	73078	1	0	0	1	3	7	0	0	20	2	7	1	0	0	210203	0	0	0	0	0	0	0
9	人参娃	0	73238	1.1	0	0	1	3	7	0	0	20	2	7	2	0	0	230303	0	0	0	0	0	0	0
10	土匪哨兵	0	73034	1	0	0	1	3	7	0	0	20	2	7	1	0	0	210401	0	0	210403	0	0	0	0
11	土匪喽喽	0	73017	1	0	0	1	3	7	0	0	20	2	7	1	0	210402	0	210402	0	0	0	0	0	0
12	土匪喽喽	0	73161	1	0	0	1	3	7	0	0	20	2	7	1	0	210404	210402	0	0	0	0	0	0	0
13	红衣土匪	0	73019	1	0	0	1	3	7	0	0	20	2	7	1	0	210502	210502	0	0	0	0	0	0	0
14	女流氓	0	73242	1	0	0	1	3	7	0	0	20	2	7	1	0	210401	210501	0	0	0	0	0	0	0
15	土匪军师	0	73020	1	0	0	1	3	7	0	0	20	2	7	1	0	210503	210403	0	0	0	0	0	0	0
16	女流氓	0	73242	1	0	0	1	3	7	0	0	20	2	7	1	0	210501	210404	0	0	0	0	0	0	0
17	红衣土匪	0	73019	1	0	0	1	3	7	0	0	20	2	7	1	0	210502	0	210502	0	0	0	0	0	0
18	猪刚烈	0	73092	1.8	0	0	1	3	7	0	0	20	2	7	2	0	210501	0	0	0	230601	0	0	0	0
19	游荡的女鬼	0	73025	1	0	0	1	3	7	0	0	20	2	7	1	0	210701	210704	210701	0	0	0	0	0	0
20	大墓蛇	0	73169	1	0	0	1	3	7	0	0	20	2	7	1	0	210704	0	210704	0	210701	0	0	0	0
21	红衣厉鬼	0	73026	1.3	0	0	1	3	7	0	0	20	2	7	1	0	0	210702	0	210703	0	210703	0	0	0
22	骷髅恶鬼	0	73073	1	0	0	1	3	7	0	0	20	2	7	1	0	210802	0	210802	0	210702	0	0	0	0
23	肉尸	0	73173	1	0	0	1	3	7	0	0	20	2	7	1	0	210703	210703	0	210801	0	0	0	0	0
24	古墓精魅	0	73051	1	0	0	1	3	7	0	0	20	2	7	1	0	210801	0	210801	0	210801	0	0	0	0
25	肉尸	0	73173	1	0	0	1	3	7	0	0	20	2	7	1	0	210703	0	210703	0	210701	0	0	0	0
26	游荡的女鬼	0	73026	1	0	0	1	3	7	0	0	20	2	7	1	0	210901	210701	210901	0	0	0	0	0	0
27	深墓邪兽	0	73100	1	0	0	1	3	7	0	0	20	2	7	1	0	210903	210902	210903	0	0	0	0	0	0
28	骷髅恶鬼	0	73073	1	0	0	1	3	7	0	0	20	2	7	1	0	210801	210802	210801	0	0	0	0	0	0
29	深墓邪兽	0	73100	1	0	0	1	3	7	0	0	20	2	7	1	0	210802	210902	210802	0	0	0	0	0	0
30	白骨精	0	73210	1.5	0	0	1	3	7	0	0	20	2	7	2	0	0	210704	0	0	210704	0	0	2301001	0
31	帝女蛛	0	73042	1	0	0	1	3	7	0	0	20	2	7	1	0	2101004	2101004	0	0	2101003	0	0	0	0
32	土蝠	0	73062	1	0	0	1	3	7	0	0	20	2	7	1	0	0	2101006	0	2101005	0	2101005	0	0	0
