Level	NeedExp	WuLi	LingQiao	TiZhi	ShuFa	TongLing	Speed	CostMoney	CostIngot
1	1500	15	15	15	15	30	0.2	3000	50
2	1980	20	20	20	20	40	0.21	6000	50
3	2340	25	25	25	25	50	0.22	9000	50
4	2730	30	30	30	30	60	0.23	12000	50
5	3150	35	35	35	35	70	0.24	15000	50
6	3600	40	40	40	40	80	0.25	18000	50
7	4080	45	45	45	45	90	0.26	21000	50
8	4590	50	50	50	50	100	0.27	24000	50
9	5130	55	55	55	55	110	0.28	27000	50
10	5700	60	60	60	60	120	0.29	30000	50
11	6600	66	66	66	66	132	0.3	35000	50
12	7560	72	72	72	72	144	0.31	40000	50
13	8580	78	78	78	78	156	0.32	45000	50
14	9660	84	84	84	84	168	0.33	50000	50
15	10800	90	90	90	90	180	0.34	55000	50
16	12000	96	96	96	96	192	0.35	60000	50
17	13260	102	102	102	102	204	0.36	65000	50
18	14580	108	108	108	108	216	0.37	70000	50
19	15960	114	114	114	114	228	0.38	75000	50
20	17400	120	120	120	120	240	0.39	80000	50
21	19800	128	128	128	128	256	0.4	88000	50
22	22320	136	136	136	136	272	0.41	96000	50
23	24960	144	144	144	144	288	0.42	104000	50
24	27720	152	152	152	152	304	0.43	112000	50
25	30600	160	160	160	160	320	0.44	120000	50
26	33600	168	168	168	168	336	0.45	128000	50
27	36720	176	176	176	176	352	0.46	136000	50
28	39960	184	184	184	184	368	0.47	144000	50
29	43320	192	192	192	192	384	0.48	152000	50
30	46800	200	200	200	200	400	0.49	160000	50
31	52800	212	212	212	212	424	0.5	172000	50
32	59040	224	224	224	224	448	0.51	184000	50
33	65520	236	236	236	236	472	0.52	196000	50
34	72240	248	248	248	248	496	0.53	208000	50
35	79200	260	260	260	260	520	0.54	220000	50
36	86400	272	272	272	272	544	0.55	232000	50
37	93840	284	284	284	284	568	0.56	244000	50
38	101520	296	296	296	296	592	0.57	256000	50
39	109440	308	308	308	308	616	0.58	268000	50
40	117600	320	320	320	320	640	0.59	280000	50
41	129000	338	338	338	338	676	0.6	300000	50
42	140760	356	356	356	356	712	0.61	320000	50
43	152880	374	374	374	374	748	0.62	340000	50
44	165360	392	392	392	392	784	0.63	360000	50
45	178200	410	410	410	410	820	0.64	380000	50
46	191400	428	428	428	428	856	0.65	400000	50
47	204960	446	446	446	446	892	0.66	420000	50
48	218880	464	464	464	464	928	0.67	440000	50
49	233160	482	482	482	482	964	0.68	460000	50
50	247800	500	500	500	500	1000	0.69	480000	50
51	270000	526	526	526	526	1052	0.7	500000	50
52	292800	552	552	552	552	1104	0.71	520000	50
53	316200	578	578	578	578	1156	0.72	540000	50
54	340200	604	604	604	604	1208	0.73	560000	50
55	364800	630	630	630	630	1260	0.74	580000	50
56	390000	656	656	656	656	1312	0.75	600000	50
57	415800	682	682	682	682	1364	0.76	620000	50
58	442200	708	708	708	708	1416	0.77	640000	50
59	469200	734	734	734	734	1468	0.78	660000	50
60	496800	760	760	760	760	1520	0.79	680000	50
