ClassId	StepId	UIResourcesID	Description
1	1	900045	点击NPC对话
2	1	900045	点击自动寻路
3	1	900044	点击完成任务
4	1	900046	点击挑战关卡
5	1	900047	打开背包
6	1	900047	打开背包
7	1	900047	打开背包
8	1	900045	打开星图界面
9	1	900045	打开强化界面
10	1	900045	打开生产界面
11	1	900045	点击后选择装备
12	1	900045	点击后选择使用道具获得宠物
13	1	900045	点击打开布阵
13	2	900045	将宠物拖入布阵图中
14	1	900045	点击学习技能
15	1	900045	点击打开星图界面
15	2	900044	点击装备技能
16	1	900045	点击打开强化
16	2	900045	点击强化按钮
17	1	900045	点击装备坐骑
19	1	900045	点击打开摇钱树界面
19	2	900045	点击摇一摇
20	1	900044	点击选择一个采集技能
20	2	900046	点击学习选中的采集技能
22	1	900045	点击打开角色面板
22	2	900047	选择灵丹分页
22	3	900044	点击使用灵丹
23	1	900045	点击选择培养方式
23	2	900045	点击培养按钮
24	1	900045	点击打开角色面板
24	2	900047	选择化灵分页
24	3	900045	选择普通培养
24	4	900046	开始培养
25	1	900045	点击打开角色面板
25	2	900047	选择符印页签
25	3	900044	双击装备符印
26	1	900045	打开角色属性界面
27	1	900045	打开角色属性界面
28	1	900047	点击化灵页签
29	1	900047	点击灵符页签
30	1	900047	点击灵丹页签
18	1	900047	点击打开强化界面
31	1	900047	点击镶嵌页签
32	1	900045	点击打开角色面板
32	2	900047	选择镶嵌分页
32	3	900044	拖入镶嵌栏中
32	4	900046	镶嵌宝石
33	1	900047	点击打开强化界面
34	1	900046	点击强化页签
35	1	900045	点击打开仙道会
35	2	900046	点击角色挑战
37	1	900045	点击打开山河图
38	1	900046	点击进入挑战
38	2	900046	点击开始挑战
39	1	900045	点击打开摇钱树
40	1	900045	选择制造技能能分页
40	2	900044	请选择一项制造技能
40	3	900046	学习制造技能
41	1	900045	点击打开山海经
41	2	900046	点击挑战山海经
42	1	900045	点击打开斩妖录
42	2	900046	点击挑战斩妖录
43	1	900045	点击打开坐骑界面
43	2	900046	点击培养1次坐骑
44	1	900045	点击打开背包
44	2	900045	装备此装备
45	1	900045	点击打开角色面板
45	2	900044	选择一个称号
46	1	900045	点击打开角色面板
46	2	900047	选择化灵分页
46	3	900046	点击使用化境
47	1	900045	点击打开背包
47	2	900045	双击装备装备
48	1	900045	点击打开好友系统
49	1	900045	点击打开拍卖行
60	1	11000371	0
61	1	11000373	0
62	1	0	0
62	2	0	这里是角色的属性界面。您可以随时在这里查看自己的基础属性信息
62	3	0	这里是活动入口，会随着游戏的进度不断追加新的活动！
62	4	0	这里是聊天窗口，系统信息和玩家之间交流可以在这里进行!
