Index	Name	Title	ModelId	Sex	Race	Level	MaxHp	Radius	Dist	Zoom	PicId	Function	Talk_4_0	Talk_4_1	Talk_4_2	Talk_4_3	Color	MoveType	MoveSpeed	Height	CamPos	headIcon
1	李大锤	0	74009	2	0	1	100	1	1.5	100	0	8	    我的手艺可是方圆十里地最好的。	    我原本是个逍遥自在的猎户，直到我的膝盖中了一箭。	    最近生意好，生铁又快不够了。	    希望有生之年能亲手打造一把绝世神兵！	0	1	4	0	0;1.4;1.7;	11000694
52	游方老道	0	74018	2	0	1	100	1	1.5	100	0	0	    万物皆有各自造化！	    这位朋友，有新手铁劵么？	    既然你我有缘，我就破例为你算上一卦。	    知阴阳晓五行演星天大卦，\n    观天象察日月断天地玄机。	0	1	4	0	0;1.4;1.7;	0
2	土地公	0	74016	2	0	1	100	1	1.5	100	0	0	    保护一方水土，是我的职责。	    没有天帝的谕旨，土地是不能随便离开各自的管辖地的。	    每一个地方都有自己的土地。	    小仙可是修行了千年才得道成仙。	0	1	4	0	0;1.4;1.7;	0
3	刘氏	0	74014	1	0	1	100	1	1.5	100	0	0	    我的相公已经出门好几天了。	    多怀念小时候的南风村，爹娘大家都在，没有兽乱，没有天灾。	    真想出村去看看外面的世界。	    我一个妇道人家，如何能撑起这个家啊。	0	1	4	0	0;1.4;1.7;	0
4	李大锤	0	74009	2	0	1	100	1	1.5	100	0	8	    我的手艺可是方圆十里地最好的。	    我原本是个逍遥自在的猎户，直到我的膝盖中了一箭。	    最近生意好，生铁又快不够了。	    希望有生之年能亲手打造一把绝世神兵！	0	1	4	0	0;1.4;1.6;	11000694
5	游方老道	0	74018	2	0	1	100	1	1.5	100	0	8	    万物皆有各自造化！	    这位居士，看你印堂发黑，这几日定是有血光之灾。	    既然你我有缘，我就破例为你算上一卦。	    知阴阳晓五行演星天大卦，\n    观天象察日月断天地玄机。	0	1	4	0	0;1.4;1.6;	0
6	李存义	镖师	74005	2	0	1	100	1	1.5	100	0	0	    我们镖局的实力是众所闻之的，就算我们拼死我们也会先保证货的安全，	    我的镖队按时间应该早已经到了才对，不会出了什么事吧。	    走南闯北了这么多年，有点疲惫了。	    镖师可不是谁都能当的，不仅要武功好，还要心细，能吃苦	0	1	4	0	0;1.4;1.6;	0
7	小阿福	采药童	74007	2	0	1	100	1	1.5	100	0	0	    别看我小，这附近的山我都跑遍了。	    旺财，旺财，旺财你去哪！	    我姐姐可漂亮了！	    我要去山上采药去了。	0	1	4	0	0;1.4;1.6;	0
8	李大锤	0	74009	2	0	1	100	1	1.5	100	0	8	    我的手艺可是方圆十里地最好的。	    我原本是个逍遥自在的猎户，直到我的膝盖中了一箭。	    最近生意好，生铁又快不够了。	    希望有生之年能亲手打造一把绝世神兵！	0	1	4	0	0;1.4;1.6;	11000694
9	游方老道	0	74018	2	0	1	100	1	1.5	100	0	0	    背包太小，东西装不下，就来找我吧。	    我这里有无限大的空间，当然需要你花费点小钱。	    东西放我这你放心。	    为大家保管物品我可是很有压力的。	0	1	4	0	0;1.4;1.6;	0
10	阿牛	0	74001	2	0	1	100	1	1.5	100	0	8	    只有你想不到的，没有我弄不来的物品。	    来来来，随便看，随意挑。	    我的东西可是货真价实，童叟无欺。	    我这都是各地的特产，你本地见不着的。	0	1	4	0	0;1.4;1.6;	11000689
11	玄坤子	掌门	74010	2	0	1	100	1	1.5	100	0	0	    作为一门之掌，更要严于律己，宽与待人。	    修炼在于静心，无欲则刚。	    太极生两仪，两仪生四象。	    月来峰的灵气越来越少了，甚是担忧。	0	1	4	0	0;1.4;1.6;	0
12	玄明子	0	74011	2	0	1	100	1	1.5	100	0	0	    黑沼非常非常危险，修为不够的人最好不要贸然进入。	    掌事其实就是管家。	    我的修为和掌门相比还是相差甚远啊。	    月来峰藏风聚气，是个修炼的灵山宝地。	0	1	4	0	0;1.4;1.6;	0
13	李大锤	0	74009	2	0	1	100	1	1.5	100	0	8	    我的手艺可是方圆十里地最好的。	    我原本是个逍遥自在的猎户，直到我的膝盖中了一箭。	    最近生意好，生铁又快不够了。	    希望有生之年能亲手打造一把绝世神兵！	0	1	4	0	0;1.4;1.6;	11000694
14	游方老道	0	74018	2	0	1	100	1	1.5	100	0	8	    万物皆有各自造化！	    又见面了，看来咱俩真的有缘分了，不如让老道我给你瞧个骨摸个相如何。	    既然你我有缘，我就破例为你算上一卦。	    知阴阳晓五行演星天大卦，\n    观天象察日月断天地玄机。	0	1	4	0	0;1.4;1.6;	0
15	阿牛	0	74001	2	0	1	100	1	1.5	100	0	8	    只有你想不到的，没有我弄不来的物品。	    来来来，随便看，随意挑。	    我的东西可是货真价实，童叟无欺。	    我这都是各地的特产，你本地见不着的。	0	1	4	0	0;1.4;1.6;	11000689
16	钱不多	大掌柜	74002	2	0	1	100	1	1.5	100	0	2	    客官您尽管放心把宝贝存我这柜上。	    东西要是卖掉了，我们只拿一点点的抽头，也就挣个辛苦钱。	    客官您又说笑了，我这开的可不是当铺。	    开门迎八方客，笑脸敬四海宾。	0	1	4	0	0;1.4;1.6;	11000692
