SceneID	NpcID	BornPos
100201	1	87.22417;15.00031;80.57814;
100201	2	43.14348;15.06897;93.33393;
100201	3	81.97172;17.79666;67.12265;
100201	52	85.47138;15.00031;88.11073;
100202	4	84.56802;1.000061;78.09901;
100202	5	82.08038;1.000061;87.56081;
100202	6	70.27787;1.000061;54.18019;
100202	7	71.79009;1.000061;85.64413;
100204	8	65.97298;53.818;42.3896;
100204	9	67.46966;53.818;51.26404;
100204	10	56.2505;53.54257;42.99219;
100204	11	44.46594;63.7211;102.102;
100204	12	95.20011;39.57643;42.54123;
100204	31	79.64101;39.53526;38.8751;
100101	13	188.9924;9.999695;86.49323;
100101	14	152.8296;9.999695;104.4978;
100101	15	168.035;9.999695;115.8843;
100101	16	131.6927;9.999695;104.3124;
100101	17	92.99355;10.12046;129.7766;
100101	18	142.8847;12.12639;169.4253;
100101	19	140.0068;10.2414;122.9235;
100101	32	136.1196;10.01863;132.282;
100101	41	136.3559;9.999695;124.1601;
100205	21	45.95537;30.00183;79.21229;
100205	23	65.87929;29.58059;90.83678;
100205	24	60.21743;30.00183;60.87442;
100205	25	40.96065;30.00183;38.87141;
100206	26	124.9628;20.63673;108.9461;
100206	28	127.0748;20.63673;127.4818;
