ID	Content	BtnCom	BtnHover	BtnPress	OperType
1	操作提示信息测试	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10	你的背包已满,请清理背包后再来挑战.	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
11	你的失败次数已经用完,退出山河重新开始吧.	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
12	你今天的进入次数已经用完	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
13	无法装备职业为{0}的装备	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
14	你需要一把合适的钥匙才能打开噢	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
15	你的元宝不足，无法购买	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
16	你今天已经不能购买了	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
17	你今天已经吃饱了，再吃就要变肥了	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
18	你已经吃饱了，不能再吃了	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
19	背包已满，无法获得物品	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
20	恭喜您获得物品{0}，距离下次获得物品时间还有{1}	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
21	u 	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
22	抱歉！还未到领取奖励的时间，请继续加油哦！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
23	你的背包已满,请清理背包后再来抽奖.	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
24	抽奖失败，游戏币不足.	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
25	抽奖失败，元宝不足.	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
26	钱不够了	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
27	不是VIP买不了的那	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
28	不能镶嵌同类宝石	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
29	宝石等级不够	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
30	只能镶嵌宝石	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
31	槽位未开启	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
32	已经镶嵌宝石	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
33	需要等级达到{0}级	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
34	元宝不足	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
9890	需要达到{0}级才能打开该功能面板	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
9900	主角色可是战斗总指挥，不能离开布阵图哦！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
9901	已在第一页	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
9902	已在最后一页	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
9920	抱歉，打坐修炼时，人物必须处于禁止状态	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
9921	抱歉，打坐修炼只能在副本与城镇场景中进行	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
9922	抱歉，打坐修炼时不能使用坐骑	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10001	好友"{0}"不在线，无法查看信息	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10002	今日已赠送过鲜花给该好友。	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10003	今日赠送鲜花次数已达到上限，每日最多可以赠送鲜花{0}次	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10004	当前只有{0}元宝！无法赠送鲜花，请进行充值	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10005	游戏币不足，无法赠送鲜花	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
