ID	OpenLevel	OpenQuestID	OpenQuestName	OpenPlayName	AtlasID	SpriteName
1	3	1006	【有煞气！】	强化	1300	11000604
2	3	1007	【找出原因】	第一个宠物和布阵	1600	11000875
3	4	1011	【查探镖车】	技能	1300	11000603
4	6	1013	【战前准备】	修行宝典	1300	11000581
5	6	1014	【直捣黄龙】	坐骑	1300	11000608
6	7	1016	【姐姐不见了】	灵丹	1300	11000633
7	8	1017	【至阴的内丹】	山河社稷图	1300	11000653
8	9	1019	【失踪的村民】	好友	1300	11000607
9	10	990	【神秘的委托】	化灵	1300	11000635
10	10	1023	【寻回师弟】	摇钱树	1300	11000580
11	11	1024	【营救师弟】	斩妖录	1300	11000592
12	12	1027	【玄明子的怒火】	活跃度	1300	11000659
13	16	1031	【寻求法宝】	山海经	1300	11000594
14	17	1033	【寻求支持】	帮派	1300	11000606
15	18	1035	【喜获良法】	仙道会	1300	11000862
16	19	1037	【镶嵌】	走火入魔	1300	11000632
17	20	1039	【皆大欢喜】	声望商店	1300	11000661
18	17	0	测试任务名	玩法名16	1300	1006
19	18	0	测试任务名	玩法名17	1300	1006
20	19	0	测试任务名	玩法名18	1300	1006
21	20	0	测试任务名	玩法名19	1300	1006
22	21	0	测试任务名	玩法名20	1300	1006
