ID	Content
10000	 
10001	未知
10002	的
10003	错误
10004	？
100000	武器
100001	防具
100002	符印
100003	材料
100004	货物
100005	宝石
100006	配方
100007	坐骑
100008	法宝
100009	卡牌
100010	容器
100011	任务
100012	宠物
101001	刀剑
101002	弓弩
101003	法杖
101004	战爪
101011	铠甲
101012	护符
101013	戒指
101014	宝鉴
101015	令牌
101021	符印
101031	花果
101032	药草
101033	河鲜
101034	珍宝
101035	矿石
101036	精砂
101041	业魂
101042	百货
101043	灵丹
101044	美酒
101045	佳肴
101046	真符
101051	金系宝石
101052	木系宝石
101053	水系宝石
101054	火系宝石
101055	土系宝石
101061	修道
101062	烹饪
101063	天工
101071	坐骑
101081	法宝
101091	卡牌
101101	容器
101111	任务物品
101121	宠物
