Index	AptitudeName	AptitudeDes	Name_4_0	Name_4_1	Name_4_2	Name_4_3	ModelId_4_0	ModelId_4_1	ModelId_4_2	ModelId_4_3	Race	Sex	ClassType	ClassType2	ClassLevel	InitLevel	Aptitude	Loyal	BattleSkill_3_0	BattleSkillLevel_3_0	BattleSkill_3_1	BattleSkillLevel_3_1	BattleSkill_3_2	BattleSkillLevel_3_2	PassiveSkill_5_0	PassiveSkillLevel_5_0	PassiveSkill_5_1	PassiveSkillLevel_5_1	PassiveSkill_5_2	PassiveSkillLevel_5_2	PassiveSkill_5_3	PassiveSkillLevel_5_3	PassiveSkill_5_4	PassiveSkillLevel_5_4	WuLi	LingQiao	TiZhi	ShuFa	TongLing	Growth	RandRate	WuLiRate	LingQiaoRate	TiZhiRate	ShuFaRate	TongLingRate
50006	特质名1	特质描述1	北极熊1级测试	北极熊2级测试	北极熊3级测试	北极熊4级测试	73005	73006	73007	73008	8	0	4	1	1	1	0	1	1011	1	0	0	40011	1	0	0	0	0	0	0	0	0	0	0	80	50	50	50	0	6	1	2000	2000	3000	3000	0
10001	特质名2	特质描述2	北极熊1级	北极熊2级	北极熊3级	北极熊4级	73005	73006	73007	73008	8	2	4	1	1	1	0	1	1011	1	0	0	40011	1	0	0	0	0	0	0	0	0	0	0	80	50	50	50	0	6	1	2000	2000	3000	3000	0
10002	特质名3	特质描述3	猛壮士1级	猛壮士2级	猛壮士3级	猛壮士4级	73013	73014	73015	73016	6	2	5	1	1	1	0	1	1011	1	0	0	40011	1	0	0	0	0	0	0	0	0	0	0	80	50	50	50	0	6	1	2000	2000	3000	3000	0
10019	风之使	血量低于50%产生风膜效果，降低法术攻击效果，持续3个回合	危月燕	危月燕	危月燕	危月燕	73086	73087	73088	73114	1	2	6	3	1	1	0	1	5002	1	0	0	50011	1	59002	1	0	0	0	0	0	0	0	0	7	10	8	5	0	20	1	2500	2500	2500	2500	0
10020	一闪	普通可攻击直线上的两个目标	蛤蟆精	蛤蟆精	蛤蟆精	蛤蟆精	73177	73178	73179	73180	3	2	5	1	1	1	0	1	5003	1	0	0	50021	1	0	0	0	0	0	0	0	0	0	0	11	6	9	4	0	20	1	2500	2500	2500	2500	0
10021	倒打一耙	反击几率提高，并且每回合可反击两次	火猪	火猪	火猪	火猪	73089	73090	73091	73092	3	2	4	1	1	1	0	1	5004	1	0	0	50031	1	0	0	0	0	0	0	0	0	0	0	11	6	9	4	0	20	1	2500	2500	2500	2500	0
10022	御剑	普通攻击可攻击横一排目标	逍遥子（测试）	逍遥子（测试）	逍遥子（测试）	逍遥子（测试）	73217	73218	73219	73220	1	2	5	1	1	1	0	1	5005	1	0	0	50041	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	1	2500	2500	2500	2500	0
10023	岩石身躯	免疫所有异常状态，并在生命垂危时可提升自己的防御	巨石怪	巨石怪	巨石怪	巨石怪	73153	73154	73155	73156	3	0	4	1	1	1	0	1	5006	1	0	0	50051	1	59006	1	0	0	0	0	0	0	0	0	11	6	9	4	0	20	1	2500	2500	2500	2500	0
10024	水生	普通攻击造成对手"浸湿"效果，使对手回避大幅下降	鲤鱼精	鲤鱼精	鲤鱼精	鲤鱼精	73197	73198	73199	73200	3	1	8	1	1	1	0	1	5007	1	0	0	50061	1	59007	1	0	0	0	0	0	0	0	0	100	100	100	100	0	1000	1	2500	2500	2500	2500	0
10025	快速愈合	每回开始会增加回复血量，但是这个效果可以被驱散	花妖	花妖	花妖	花妖	73185	73186	73187	73188	3	1	8	1	1	1	6	1	5008	1	0	0	50071	1	59008	1	0	0	0	0	0	0	0	0	2000	2000	2000	2000	0	0	1	2500	2500	2500	2500	0
