Level	MaxExp	MaxPetNum	MaxBattleUnit	MeditationValue
1	160	8	1	0
2	230	8	1	0
3	280	8	2	0
4	320	8	2	1
5	520	8	2	2
6	600	8	3	3
7	880	8	3	4
8	1220	8	3	5
9	1880	8	3	6
10	2670	8	4	7
11	3650	8	4	8
12	4780	8	4	9
13	6150	8	4	10
14	8110	8	4	11
15	10900	8	4	12
16	14200	8	4	13
17	18000	8	4	14
18	22400	8	4	15
19	27900	8	4	20
20	35000	8	4	25
21	42100	8	5	30
22	51900	8	5	35
23	62100	8	5	40
24	75200	8	5	45
25	88900	8	5	50
26	106000	8	5	55
27	123900	8	5	60
28	145000	8	5	65
29	169200	8	5	70
30	197500	8	5	75
31	227000	8	5	80
32	262000	8	5	85
33	300300	8	5	90
34	341200	8	5	95
35	389800	8	5	100
36	440400	8	5	105
37	498700	8	5	110
38	561800	8	5	115
39	629800	8	5	120
40	707100	8	5	125
41	787400	8	5	205
42	879500	8	5	210
43	976500	8	5	215
44	1083600	8	5	220
45	1201500	8	5	225
46	1325300	8	5	230
47	1460900	8	5	235
48	1609100	8	5	240
49	1768300	8	5	245
50	1937400	8	5	250
51	2121000	8	5	255
52	2320100	8	5	260
53	2532700	8	5	265
54	2757500	8	5	270
55	3005000	8	5	275
56	3263000	8	5	280
57	3540300	8	5	285
58	3838100	8	5	290
59	4157300	8	5	295
60	4489100	8	5	300
61	5008600	8	5	305
62	5235700	8	5	310
63	5640300	8	5	315
64	6073600	8	5	320
65	6527400	8	5	325
66	7017300	8	5	330
67	7537500	8	5	335
68	8075900	8	5	340
69	8654600	8	5	345
70	9267200	8	5	350
71	9915100	8	5	355
72	10599900	8	5	360
73	11316200	8	5	365
74	12081200	8	5	370
75	12877900	8	5	375
76	13726900	8	5	380
77	14620400	8	5	385
78	15562500	8	5	390
79	16552400	8	5	395
80	17591700	8	5	400
