Level	CostGameMoney	TrainMin	TrainMax	CostRealMoney	RTrainMin	RTrainMax
1	20	0.1	0.3	10	0.2	0.4
2	40	0.1	0.3	10	0.2	0.4
3	60	0.1	0.3	10	0.2	0.4
4	80	0.1	0.3	10	0.2	0.4
5	100	0.1	0.3	10	0.2	0.4
6	120	0.1	0.3	10	0.2	0.4
7	140	0.1	0.3	10	0.2	0.4
8	160	0.1	0.3	10	0.2	0.4
9	180	0.1	0.3	10	0.2	0.4
10	200	0.1	0.3	10	0.2	0.4
11	220	0.1	0.3	10	0.2	0.4
12	240	0.1	0.3	10	0.2	0.4
13	260	0.1	0.3	10	0.2	0.4
14	280	0.1	0.3	10	0.2	0.4
15	300	0.1	0.3	10	0.2	0.4
16	320	0.1	0.3	10	0.2	0.4
17	340	0.1	0.3	10	0.2	0.4
18	360	0.1	0.3	10	0.2	0.4
19	380	0.1	0.3	10	0.2	0.4
20	400	0.1	0.3	10	0.2	0.4
21	420	0.1	0.3	10	0.2	0.4
22	440	0.1	0.3	10	0.2	0.4
23	460	0.1	0.3	10	0.2	0.4
24	480	0.1	0.3	10	0.2	0.4
25	500	0.1	0.3	10	0.2	0.4
26	520	0.1	0.3	10	0.2	0.4
27	540	0.1	0.3	10	0.2	0.4
28	560	0.1	0.3	10	0.2	0.4
29	580	0.1	0.3	10	0.2	0.4
30	600	0.1	0.3	10	0.2	0.4
31	620	0.1	0.3	10	0.2	0.4
32	640	0.1	0.3	10	0.2	0.4
33	660	0.1	0.3	10	0.2	0.4
34	680	0.1	0.3	10	0.2	0.4
35	700	0.1	0.3	10	0.2	0.4
36	720	0.1	0.3	10	0.2	0.4
37	740	0.1	0.3	10	0.2	0.4
38	760	0.1	0.3	10	0.2	0.4
39	780	0.1	0.3	10	0.2	0.4
40	800	0.1	0.3	10	0.2	0.4
41	820	0.1	0.3	10	0.2	0.4
42	840	0.1	0.3	10	0.2	0.4
43	860	0.1	0.3	10	0.2	0.4
44	880	0.1	0.3	10	0.2	0.4
45	900	0.1	0.3	10	0.2	0.4
46	920	0.1	0.3	10	0.2	0.4
47	940	0.1	0.3	10	0.2	0.4
48	960	0.1	0.3	10	0.2	0.4
49	980	0.1	0.3	10	0.2	0.4
50	1000	0.1	0.3	10	0.2	0.4
51	1020	0.1	0.3	10	0.2	0.4
52	1040	0.1	0.3	10	0.2	0.4
