ID	Name	ItemType	LearnExp	CostTime	CostStrength	Exp_3_0	Exp_3_1	Exp_3_2	NeedItemId_6_0	NeedItemNum_6_0	NeedItemId_6_1	NeedItemNum_6_1	NeedItemId_6_2	NeedItemNum_6_2	NeedItemId_6_3	NeedItemNum_6_3	NeedItemId_6_4	NeedItemNum_6_4	NeedItemId_6_5	NeedItemNum_6_5	OutputItemId	OutputItemNum
1	一品白虎灵丹	灵丹	1	2	5	80	60	40	52000	4	0	0	0	0	0	0	0	0	0	0	80000	1
2	一品玄武灵丹	灵丹	50	2	5	130	110	90	52000	4	0	0	0	0	0	0	0	0	0	0	80014	1
3	贪狼符印	符印	70	2	3	170	145	120	56000	2	60010	1	60004	1	0	0	0	0	0	0	30001	1
4	初级经验真符	真符	35	3	5	150	130	90	56000	2	60004	1	0	0	0	0	0	0	0	0	80101	1
5	一品青龙灵丹	灵丹	100	2	5	180	160	140	52000	4	0	0	0	0	0	0	0	0	0	0	80007	1
6	一品朱雀灵丹	灵丹	150	2	5	220	210	190	52000	4	0	0	0	0	0	0	0	0	0	0	80021	1
7	初级召唤真符	真符	115	3	5	235	215	175	56000	1	56001	1	60004	1	0	0	0	0	0	0	80301	1
8	巨门符印	符印	150	2	3	250	225	200	56001	2	60011	1	60004	1	0	0	0	0	0	0	30002	1
9	初级复活真符	真符	175	3	5	295	275	235	56001	2	60004	1	0	0	0	0	0	0	0	0	80201	1
10	二品白虎灵丹	灵丹	200	2	5	250	240	230	52001	6	0	0	0	0	0	0	0	0	0	0	80001	1
11	二品玄武灵丹	灵丹	250	2	5	300	290	280	52001	6	0	0	0	0	0	0	0	0	0	0	80015	1
12	禄存符印	符印	270	2	3	345	320	295	56003	4	60012	1	60004	1	0	0	0	0	0	0	30003	1
13	次级经验真符	真符	235	3	5	310	300	260	56002	2	60004	1	0	0	0	0	0	0	0	0	80102	1
14	二品青龙灵丹	灵丹	300	2	5	350	340	330	52001	6	0	0	0	0	0	0	0	0	0	0	80008	1
15	二品朱雀灵丹	灵丹	350	2	5	400	390	380	52001	6	0	0	0	0	0	0	0	0	0	0	80022	1
