ID	Name	ModelId	NeedDistance	NeedCareer	NeedExp	CostTime	CostStrength	ItemId_3_0	ItemId_3_1	ItemId_3_2
1	芍药花	110104	1	1	1	3	5	52000	52100	51000
2	银杉	110105	1	1	50	3	5	52001	52101	51001
3	九竭草	110106	1	1	150	3	5	52002	52102	51002
21	铜矿	110101	1	3	1	3	5	55000	56000	55100
22	电石	110102	1	3	100	3	5	55001	56001	55101
23	血水晶	110103	1	3	150	3	5	55002	56002	55102
41	浅水鱼群	110107	1	2	1	3	5	53000	54000	53100
42	寒泉鱼群	110107	1	2	100	3	5	53001	54001	53101
43	血池鱼群	110107	1	2	150	3	5	53002	54002	53102
101	芍药花	73098	1	1	1	3	5	52000	52100	51000
102	铜矿	73098	1	3	1	3	5	55000	56000	55100
103	浅水鱼群	73098	1	2	1	3	5	53000	54000	53100
