ID	Level	Kind	Name	NeedPlayerLevel	NeedExp	MaxExpLimit	AnimName	DefaultIcon	SelectIcon	RelativeID1	RelativeID2	Discription
1	1	0	采摘	20	0	200	23	12000462	12000461	5	4	成为一名药夫，在神州各地收集和采摘各种稀有的药草和奇花异果。
1	2	0	采摘	40	100	400	23	12000462	12000461	5	4	成为一名药夫，在神州各地收集和采摘各种稀有的药草和奇花异果。
1	3	0	采摘	60	300	600	23	12000462	12000461	5	4	成为一名药夫，在神州各地收集和采摘各种稀有的药草和奇花异果。
1	4	0	采摘	80	500	900	23	12000462	12000461	5	4	成为一名药夫，在神州各地收集和采摘各种稀有的药草和奇花异果。
1	5	0	采摘	100	800	1200	23	12000462	12000461	5	4	成为一名药夫，在神州各地收集和采摘各种稀有的药草和奇花异果。
1	6	0	采摘	120	1100	1600	23	12000462	12000461	5	4	成为一名药夫，在神州各地收集和采摘各种稀有的药草和奇花异果。
1	7	0	采摘	140	1500	2000	23	12000462	12000461	5	4	成为一名药夫，在神州各地收集和采摘各种稀有的药草和奇花异果。
2	1	0	垂钓	20	0	200	24	12000458	12000457	4	3	成为一名渔夫，在名山大川中怡然垂钓，走运时还能钓起遗落在水里的珍宝。
2	2	0	垂钓	40	100	400	24	12000458	12000457	4	3	成为一名渔夫，在名山大川中怡然垂钓，走运时还能钓起遗落在水里的珍宝。
2	3	0	垂钓	60	300	600	24	12000458	12000457	4	3	成为一名渔夫，在名山大川中怡然垂钓，走运时还能钓起遗落在水里的珍宝。
2	4	0	垂钓	80	500	900	24	12000458	12000457	4	3	成为一名渔夫，在名山大川中怡然垂钓，走运时还能钓起遗落在水里的珍宝。
2	5	0	垂钓	100	800	1200	24	12000458	12000457	4	3	成为一名渔夫，在名山大川中怡然垂钓，走运时还能钓起遗落在水里的珍宝。
2	6	0	垂钓	120	1100	1600	24	12000458	12000457	4	3	成为一名渔夫，在名山大川中怡然垂钓，走运时还能钓起遗落在水里的珍宝。
2	7	0	垂钓	140	1500	2000	24	12000458	12000457	4	3	成为一名渔夫，在名山大川中怡然垂钓，走运时还能钓起遗落在水里的珍宝。
3	1	0	勘探	20	0	200	25	12000460	12000459	6	6	成为一名矿工，探寻并挖掘土地中的矿石，矿石可用于制造各种武器装备。
3	2	0	勘探	40	100	400	25	12000460	12000459	6	6	成为一名矿工，探寻并挖掘土地中的矿石，矿石可用于制造各种武器装备。
3	3	0	勘探	60	300	600	25	12000460	12000459	6	6	成为一名矿工，探寻并挖掘土地中的矿石，矿石可用于制造各种武器装备。
