Index	Name	PreIndex	PostIndex	SceneID	RequireLevel	RequireMissionID	BossAtlasID	BossSpriteName	AtlasID	SpriteName	LuckTC_3_0	LuckTC_3_1	LuckTC_3_2	LevelNeed_3_0	LevelNeed_3_1	LevelNeed_3_2	EnterPos	EnterDir	RoundNum	GroupID_6_0	GroupPos_6_0	GroupDir_6_0	GroupScene_6_0	GroupID_6_1	GroupPos_6_1	GroupDir_6_1	GroupScene_6_1	GroupID_6_2	GroupPos_6_2	GroupDir_6_2	GroupScene_6_2	GroupID_6_3	GroupPos_6_3	GroupDir_6_3	GroupScene_6_3	GroupID_6_4	GroupPos_6_4	GroupDir_6_4	GroupScene_6_4	GroupID_6_5	GroupPos_6_5	GroupDir_6_5	GroupScene_6_5	RebornPos_3_0	RebornDir_3_0	RebornPos_3_1	RebornDir_3_1	RebornPos_3_2	RebornDir_3_2	RoadFlagID_3_0	RoadFlagPos_3_0	RoadFlagDir_3_0	RoadFlagID_3_1	RoadFlagPos_3_1	RoadFlagDir_3_1	RoadFlagID_3_2	RoadFlagPos_3_2	RoadFlagDir_3_2	CutSceneStart	CutScenePre_3_0	CutSceneSuf_3_0	CutScenePre_3_1	CutSceneSuf_3_1	CutScenePre_3_2	CutSceneSuf_3_2	EnterCameraPos	EnterCameraRot
1	万兽山虎啸峰	0	2	100520	1	1002	0	0	1006	11000180	3001	3002	3003	1	4	7	52.88066;20.10352;36.77166;	0	3	1	53.49432;20.08208;52.77691;	-179.4893	101621	2	55.83328;20.05267;68.99571;	-187.6735	101621	3	59.94593;20.07018;87.25191;	-158.9531	101621	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	52.09818;20.292;39.99283;	0	54.49229;20.13243;56.57717;	0	56.00967;20.32102;70.42562;	76.18676	0	59.70066;20.04147;40.02631;	0	0	59.19845;20.74768;68.04581;	339.3465	0	64.22234;20.29454;80.27895;	34.12671	0	0	0	0	0	200001	0	0;6.02665;-14.11835;	27.34;0;0;
2	万兽山野猪林	1	3	100521	1	1004	0	0	1006	11000180	3001	3002	3003	3	6	9	49.25751;7.000427;48.26103;	20.28023	3	4	54.99699;7.777015;65.91363;	-132.9712	101621	5	67.78127;9.986494;78.05466;	-122.5383	101621	6	77.52785;10.00061;97.88229;	-198.1371	101621	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	49.25751;7.000427;48.26103;	20.28023	56.0945;9.583897;68.73759;	60.17975	74.90192;9.992798;83.05169;	7.786041	0	54.16401;7.104518;51.30918;	0	0	66.4129;9.600892;69.88601;	30.10655	0	82.64338;10.0818;82.59113;	-11.19293	0	0	0	0	0	0	200002	0;8.44;-16.32;	27.34;0;0;
3	万兽山群妖岭	2	4	100522	1	1007	0	11000875	1006	11000180	3001	3002	3003	2	5	8	31.69564;30.00183;76.45541;	68.90161	3	7	44.40409;30.00183;78.62655;	-82.39575	101621	8	72.3166;30.00183;80.35953;	-100.3087	101621	9	100.2029;30.00183;81.62054;	-95.24701	101621	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	26.77328;30.00183;77.67095;	89.28458	51.01255;30.00183;78.63976;	94.1685	82.24112;30.00183;80.79401;	99.65015	0	37.11589;19.97495;75.57879;	87.39046	0	66.69143;30.00908;73.83376;	78.65411	0	88.98975;30.00183;77.16621;	77.12494	200003	0	0	0	0	0	200004	-16.1333;8.440001;-2.461426;	27.34;81.32545;0;
4	黄泥岗土匪前哨	3	5	100505	1	1011	0	0	1006	11000180	3001	3002	3003	4	7	10	37.20684;45.94755;20.66501;	66.60686	3	10	49.16973;46.31086;24.84003;	-102.1512	101606	11	64.31169;46.7255;51.03235;	-164.7981	101606	12	45.55257;51.09853;78.01062;	119.6763	101606	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	31.28453;45.94755;20.65908;	77.91328	61.19641;45.86767;36.09708;	10.41856	57.14544;50.56461;75.08135;	-66.953	0	43.5831;45.79602;19.47173;	27.30636	0	63.83495;45.92809;31.26777;	7.454533	0	66.95463;48.7631;64.81979;	-35.45624	0	0	0	0	0	0	200005	-15.58719;8.626565;-5.321905;	27.64343;71.14867;0;
5	黄泥岗土匪营地	4	6	100506	1	1012	0	0	1006	11000180	3001	3002	3003	5	8	11	61.53036;40.36654;31.07884;	37.4595	3	13	69.31615;40.41078;40.19212;	-137.4032	101607	14	91.22449;39.91698;67.20414;	-159.176	101607	15	51.33226;40.2846;94.81099;	112.5534	101607	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	62.01981;39.3002;33.00899;	42.72336	85.43708;39.34786;58.09534;	32.24757	62.97286;39.98448;87.15099;	-68.17804	0	56.99708;39.8724;29.87016;	72.27158	0	71.19096;40.41124;39.05316;	39.05316	0	85.5461;40.42933;74.69527;	-49.88916	0	0	0	0	0	0	200006	-11.97895;8.44;-11.08365;	27.34;47.2231;0;
6	黄泥岗土匪老巢	5	7	100507	1	1014	0	11000862	1006	11000180	3001	3002	3003	6	9	12	37.61246;15.00031;78.86349;	138.5359	3	16	48.59385;15.1346;66.17265;	-28.46094	101607	17	92.37397;10.59288;67.40956;	-90.39685	101607	18	94.00073;10.59288;90.55396;	-168.373	101607	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	42.62356;15.00031;73.69779;	142.5902	63.83121;15.00031;55.33677;	90.54671	92.82184;10.01801;78.56821;	0	0	39.56382;14.99555;73.23975;	116.0185	0	74.59308;15.0951;52.57858;	33.85954	0	95.27541;10.03726;71.45313;	-26.1452	0	0	0	0	0	200007	0	-9.682266;8.44;13.15003;	27.34;143.6361;0;
7	千年古墓墓门	6	8	100501	1	1016	0	0	1006	11000180	3001	3002	3003	7	10	13	29.94502;11.92089;43.8812;	80.44946	3	19	44.76286;12.36633;46.59589;	-105.473	101602	20	49.58319;12.36633;11.07578;	-90	101602	21	13.06837;8.266922;13.732;	117.651	101602	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	36.79808;12.29807;44.81808;	85.24231	45.90553;11.91242;23.7068;	150.0579	27.08999;8.000671;9.625665;	-85.19379	0	29.92298;11.94894;41.98032;	52.53537	0	50.02013;12.00919;38.5503;	222.1584	0	46.32824;12.12665;14.11063;	-126.2147	0	0	0	0	0	0	200008	-15.15571;13.02435;-13.05008;	33.07288;49.26934;0;
8	千年古墓甬道	7	9	100502	1	1017	0	0	1006	11000180	3001	3002	3003	8	11	14	17.63585;31.02787;43.90606;	126.3261	3	22	26.88492;31.23625;34.75246;	-49.46881	101602	23	21.87035;28.64305;8.041048;	-33.99622	101602	24	51.27849;31.0727;41.507;	177.0036	101602	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	19.13821;30.94491;42.48064;	133.6538	14.23022;28.31047;14.82031;	132.8528	51.26555;28.31047;29.39816;	0	0	18.30879;30.93836;39.54824;	131.7364	0	16.11357;28.20671;19.95667;	166.4616	0	29.23502;28.40297;11.85307;	66.69664	0	0	0	0	0	0	0	-14.3192;10.6336;10.90733;	30.57234;127.2975;0;
9	千年古墓侧室	8	10	100503	1	1019	0	0	1006	11000180	3001	3002	3003	9	12	15	7.641686;25.63881;13.17672;	68.51534	3	25	20.08222;25.63881;20.14503;	-126.425	101602	26	31.99766;30.34517;24.86115;	-107.9203	101602	27	32.58251;37.52667;43.5421;	-115.5294	101602	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	9.954508;25.63881;14.65355;	76.17961	23.4221;27.28571;20.43376;	68.49916	25.99221;37.48787;37.27238;	40.28854	0	11.23374;25.63881;11.58391;	53.40427	0	21.96179;25.63881;17.66676;	42.56102	0	34.00696;30.34517;28.79525;	-30.62262	0	0	0	0	0	0	200009	-13.04466;8.44;-9.873517;	27.34;52.8779;0;
10	千年古墓主室	9	11	100504	1	1020	0	11000868	1006	11000180	3001	3002	3003	10	13	16	15.06723;28.70388;48.84792;	133.4075	3	28	26.44385;23.16867;38.29218;	-48.17279	101602	29	36.64374;23.16867;28.45386;	-56.38965	101602	30	46.15095;20.70662;20.1922;	-43.55383	101602	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	15.06723;28.70388;48.84792;	133.4075	26.44385;23.16867;38.29218;	-48.17279	36.64374;23.16867;28.45386;	-56.38965	0	15.87969;28.70388;45.05811;	117.3607	0	28.02537;23.27388;32.3496;	122.0788	0	36.14871;23.16867;26.8367;	135.5232	0	0	0	0	0	0	200010	-11.69419;8.44;11.04957;	26.86201;133.3765;0;
11	黑沼浅水滩	10	12	100523	1	1023	0	0	1006	11000180	3004	3005	3006	10	13	16	88.95496;7.0158581;43.85509;	302.9233	3	31	77.53056;6.519804;51.16051;	115.7649	101624	32	67.75748;6.087124;67.22073;	184.3683	101624	33	80.27229;6.000366;88.09447;	251.9223	101624	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	88.95496;7.015858;43.85509;	302.9233	72.57329;6.364506;54.23183;	324.1885	67.94683;6.004322;76.93861;	4.52479	0	88.42992;6.901607;49.19847;	285.3412	0	72.76487;6.259101;58.48472;	339.3961	0	73.17595;6.000366;77.27567;	16.85759	0	0	0	0	0	0	0	14.79814;8.44;-7.022781;	27.34;295.3878;0;
12	黑沼鬼雾林	11	13	100524	1	1024	0	0	1006	11000180	3004	3005	3006	11	14	17	37.4101;6.060523;66.52337;	0	3	34	36.3783;6.042471;83.81788;	174.1884	101624	35	46.92744;6.000366;98.19404;	-99.10785	101624	36	67.64314;6.003421;86.03846;	-40.96637	101624	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	37.4101;6.060523;66.52337;	0	35.65194;6.011437;87.67393;	16.92618	53.69193;6.000366;96.14461;	122.5395	0	43.07748;6.048151;73.84506;	0	0	39.312;5.876733;89.02349;	0	0	52.78019;5.641279;90.04636;	95.98529	0	0	0	0	0	0	0	0;8.44;-16.39;	27.34;0;0;
13	黑沼草子海	12	14	100525	1	1027	0	0	1006	11000180	3004	3005	3006	12	15	18	66.2607;20.29811;68.9931;	164.0732	3	37	70.39646;20.29811;53.30124;	0	101624	38	81.62815;20.29811;30.84467;	-56.24371	101624	39	100.9387;20.29811;24.11081;	-100.8417	101624	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	67.6534;20.29811;64.01284;	182.6728	73.62798;20.29811;44.19427;	151.4097	85.17244;20.29811;29.18384;	100.4008	0	62.62629;20.50125;62.89811;	172.9699	0	67.88682;20.46583;42.38012;	153.5822	0	88.17434;20.27215;22.29732;	89.59064	0	0	0	0	0	0	0	-4.963921;8.44;15.63073;	27.34;162.3814;0;
14	黑沼灵兽园	13	15	100526	1	1028	0	0	1006	11000180	3004	3005	3006	13	16	19	89.37383;6.000366;88.88074;	-94.93671	3	40	70.68447;6.000366;84.02742;	47.65341	101624	41	64.10602;6.002;62.73203;	59.06766	101624	42	38.86743;6.000366;64.46009;	122.1214	101624	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	85.81862;6.000366;88.23042;	-89.70209	69.08195;6.000366;75.90521;	-149.3571	51.42578;6.000366;60.03559;	-78.10919	0	79.13403;6.000366;93.26856;	-97.49579	0	65.01881;6.000366;70.48697;	-171.0157	0	53.00134;6.000366;65.91582;	-76.29071	0	0	0	0	0	0	0	15.78471;8.44;4.486763;	27.34;254.1322;0;
15	黑沼符禺沼	14	16	100527	1	1028	0	0	1006	11000180	3004	3005	3006	14	17	20	17.60322;10.00061;19.92787;	84.22948	3	43	32.49165;10.00061;20.84636;	-94.38867	101624	44	45.61725;10.00061;26.26135;	-118.2974	101624	45	48.72904;14.71774;42.98538;	183.2415	101624	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	20.62652;10.00061;19.1389;	83.62828	34.39946;10.00061;21.41684;	80.89861	47.20708;11.57433;34.46544;	0	0	22.94707;10.00061;17.68555;	68.24437	0	38.60219;10.00061;20.18801;	55.11578	0	49.52402;10.38191;30.86782;	11.9115	0	0	0	0	0	0	0	-16.26249;8.44;-2.268923;	27.34;82.05743;0;
16	黑沼幻雾林	15	17	100525	1	1029	0	11000860	1006	11000180	3004	3005	3006	15	18	21	72.08665;20.29811;44.02518;	-13.76274	3	46	66.30867;20.29811;58.16026;	-200.5095	101624	47	62.96072;20.2682;76.18644;	159.6772	101624	48	53.3182;20.29811;95.26543;	177.7375	101624	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	70.92435;20.29811;44.02518;	0	66.0724;20.29811;61.79869;	-28.41144	59.3217;20.29811;81.84739;	0	0	74.40821;20.24526;54.46371;	0	0	69.03767;20.29811;69.6973;	-21.7113	0	58.95015;20.29811;88.02337;	-40.34741	0	0	0	0	0	0	0	8.078163;8.44;-14.30693;	27.34;330.5495;0;
17	大千殿清湮殿	16	18	100529	1	1031	0	0	1006	11000180	3004	3005	3006	16	19	22	54.17895;19.5004;26.89747;	61.03397	3	49	76.65089;19.9647;33.91265;	-133.4395	101630	50	61.02683;27.71593;51.37706;	108.9405	101630	51	60.51556;31.61731;100.9533;	192.3534	101630	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	57.58385;19.5004;27.51108;	65.70833	73.59297;23.8236;51.79898;	-85.11243	59.44091;31.31242;89.18453;	0	0	61.93834;19.5004;22.69765;	43.68405	0	73.81679;23.8236;55.30087;	-112.2274	0	63.30827;27.71593;71.01322;	0	0	0	0	0	0	0	0	-15.97695;8.44;-3.874382;	27.34;76.36903;0;
