Index	Name	SceneID	Position	ModeID	Level_16_0	Level_16_1	Level_16_2	Level_16_3	Level_16_4	Level_16_5	Level_16_6	Level_16_7	Level_16_8	Level_16_9	Level_16_10	Level_16_11	Level_16_12	Level_16_13	Level_16_14	Level_16_15
1	万兽山副本	100201	64.18356;15.73421;73.38396;	74003	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2	黄泥岗	100202	69.50546;1.162064;40.80982;	74003	4	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0
3	千年古墓	100202	31.02694;1.328721;45.52313;	74003	7	8	9	10	0	0	0	0	0	0	0	0	0	0	0	0
7	黑沼	100204	33.95001;58.3;68.69652;	74003	11	12	13	14	15	16	103	0	0	0	0	0	0	0	0	0
8	大千殿	100204	50.7253;49.175;19.09885;	74003	17	18	19	20	21	22	104	105	106	0	0	0	0	0	0	0
9	应天大牢	100101	142.8008;9.999695;187.0719;	74003	23	24	25	26	27	28	107	108	0	0	0	0	0	0	0	0
10	乱石滩	100101	143.126;9.999695;46.9179;	74003	29	30	31	32	33	109	110	0	0	0	0	0	0	0	0	0
12	五寒峰	100205	39.56073;30.3859;46.32974;	74003	34	35	36	37	38	111	112	113	0	0	0	0	0	0	0	0
13	火云洞	100205	87.71008;30.12968;42.88236;	74003	39	40	41	42	43	44	114	115	0	0	0	0	0	0	0	0
14	撼天塔下层	100206	125.1325;20.63673;64.33139;	74003	45	46	47	48	49	0	0	0	0	0	0	0	0	0	0	0
15	撼天塔上层	100206	126.1481;20.08026;176.9414;	74003	50	51	52	53	54	55	56	57	0	0	0	0	0	0	0	0
