Index	Name	Type	SceneID	Reputation	Money	Exp	TCID	TipID	MonID_9_0	MonID_9_1	MonID_9_2	MonID_9_3	MonID_9_4	MonID_9_5	MonID_9_6	MonID_9_7	MonID_9_8	TargetLevel	FixValue	FightValue
1	天音山 第1关	0	101621	0	30	15	0	0	210102	210101	210102	0	210103	210103	0	0	0	1	0.8	1
2	天音山 第2关	0	101621	0	40	20	0	0	210201	210203	210201	0	210201	0	0	210202	0	2	0.8	2
3	天音山 第3关	0	101621	0	50	25	0	0	210101	210101	210101	0	210102	210102	0	0	0	3	0.8	3
4	天音山 第4关	0	101607	0	70	30	0	0	210402	210404	210402	210403	0	210403	0	0	0	4	0.8	4
5	天音山 第5关	1	101607	50	90	50	5101	1	210503	210503	210503	210502	230601	0	0	0	0	5	0.8	5
6	天音山 第6关	0	101607	0	100	60	0	0	210502	210403	210502	210401	210501	0	0	0	0	6	0.8	6
7	天音山 第7关	0	101602	0	130	80	0	0	210704	210704	210704	210702	210702	0	0	0	0	7	0.8	7
8	天音山 第8关	0	101602	0	170	100	0	0	210701	210801	210701	210703	0	210802	0	0	0	8	0.8	8
9	天音山 第9关	0	101602	0	250	150	0	0	210903	210902	210903	210801	210801	0	0	0	0	9	0.8	9
10	天音山 第10关	2	101602	100	310	190	5102	2	210903	210903	0	210802	2301001	210802	0	0	0	10	0.8	10
11	天音山 第11关	0	101624	0	410	250	0	0	2101006	2101004	2101006	2101003	0	2101003	0	0	0	11	0.8	11
12	天音山 第12关	0	101624	0	510	310	0	0	2101002	2101101	2101002	2101005	2101005	0	0	0	0	12	0.8	12
13	天音山 第13关	0	101624	0	600	370	0	0	2101102	2101004	2101102	0	2101201	0	0	2101201	0	13	0.8	13
14	天音山 第14关	0	101624	0	750	460	0	0	2101003	2101004	2101003	0	2101003	0	0	2101003	0	14	0.8	14
15	天音山 第15关	1	101624	150	940	580	5103	3	2101301	2101201	2101301	2101201	0	2101201	0	0	0	15	0.8	15
16	天音山 第16关	0	101624	0	1140	700	0	0	2101401	2101501	2101401	0	2101202	2101202	0	0	0	16	0.8	16
17	天音山 第17关	0	101630	0	1330	820	0	0	2101802	2101901	2101802	2101702	0	2101702	0	0	0	17	0.8	17
18	天音山 第18关	0	101630	0	1540	950	0	0	2101601	2101601	2101601	2101602	2101602	0	0	0	0	18	0.8	18
19	天音山 第19关	0	101630	0	1750	1080	0	0	2101701	2101802	2101701	2101801	0	2101801	0	0	0	19	0.8	19
20	天音山 第20关	2	101630	200	2000	1230	5104	4	2101502	2101801	2101502	0	2101502	0	0	2302001	0	20	0.8	20
21	神女峰 第1关	0	101609	0	2320	1430	0	0	2102004	2102002	2102004	2102003	0	2102003	0	0	0	21	0.9	21
22	神女峰 第2关	0	101609	0	2760	1700	0	0	2102005	2102102	2102005	2102006	2102006	0	0	0	0	22	0.9	22
23	神女峰 第3关	0	101609	0	3160	1950	0	0	2102202	2102202	2102202	2102201	2102201	0	0	0	0	23	0.9	23
24	神女峰 第4关	0	101609	0	3700	2280	0	0	2102002	0	2102002	2102301	2102101	2102301	0	0	0	24	0.9	24
25	神女峰 第5关	1	101609	0	4180	2580	5105	5	2102103	2102102	2102103	0	2102102	0	0	2302501	0	25	0.9	25
26	神女峰 第6关	0	101624	0	4780	2950	0	0	2102602	2102603	2102602	2102603	2102604	0	0	0	0	26	0.9	26
27	神女峰 第7关	0	101624	0	5350	3300	0	0	2102606	2102606	0	2102601	2102601	2102601	0	0	0	27	0.9	27
28	神女峰 第8关	0	101624	0	5980	3690	0	0	2102803	2102801	2102803	2102602	2102802	0	0	0	0	28	0.9	28
29	神女峰 第9关	0	101624	0	6650	4100	0	0	2102801	2102801	2102801	2102803	2102901	0	0	0	0	29	0.9	29
30	神女峰 第10关	2	101624	0	7380	4550	5106	6	2102601	2102606	2102601	0	2102606	0	0	2103001	0	30	0.9	30
31	神女峰 第11关	0	101640	0	8170	5040	0	0	2103002	2103002	2103002	2103102	2103002	0	0	0	0	31	0.9	31
32	神女峰 第12关	0	101640	0	9090	5610	0	0	2103002	2103203	2103002	2103204	2103204	0	0	0	0	32	0.9	32
33	神女峰 第13关	0	101640	0	10030	6190	0	0	2103003	2103003	2103003	2103005	2103005	0	0	0	0	33	0.9	33
34	神女峰 第14关	0	101640	0	10960	6760	0	0	2103201	2103202	2103201	2103202	2103202	0	0	0	0	34	0.9	34
35	神女峰 第15关	1	101640	0	12010	7410	5107	7	2103204	2103204	2103202	2103401	2103202	0	0	0	0	35	0.9	35
36	神女峰 第16关	0	101615	0	13000	8020	0	0	2103501	2103504	2103501	0	2103504	0	0	2103504	0	36	0.9	36
