NPCID	itemID	maxNum	needVIPLevel	sellType	specialCoinType	specialCoinHowMuch	convertItemID	convertItemCount	Sequencs
1	10000	0	0	0	0	0	0	0	1
1	10001	0	0	0	0	0	0	0	2
1	10002	0	0	0	0	0	0	0	3
1	10003	0	0	0	0	0	0	0	4
1	10004	0	0	0	0	0	0	0	5
1	10005	0	0	0	0	0	0	0	6
1	10006	0	0	0	0	0	0	0	7
1	10007	0	0	0	0	0	0	0	8
4	10000	0	0	0	0	0	0	0	1
4	10001	0	0	0	0	0	0	0	2
4	10002	0	0	0	0	0	0	0	3
4	10003	0	0	0	0	0	0	0	4
4	10004	0	0	0	0	0	0	0	5
4	10005	0	0	0	0	0	0	0	6
4	10006	0	0	0	0	0	0	0	7
4	10007	0	0	0	0	0	0	0	8
5	80000	0	0	0	0	0	0	0	1
5	80007	0	0	0	0	0	0	0	2
5	80014	0	0	0	0	0	0	0	3
5	80021	0	0	0	0	0	0	0	4
5	80101	0	0	0	0	0	0	0	5
5	80102	0	0	0	0	0	0	0	6
5	80201	0	0	0	0	0	0	0	7
5	80202	0	0	0	0	0	0	0	8
5	80301	0	0	0	0	0	0	0	9
5	80302	0	0	0	0	0	0	0	10
8	10009	0	0	0	0	0	0	0	1
8	10010	0	0	0	0	0	0	0	2
8	10011	0	0	0	0	0	0	0	3
8	10012	0	0	0	0	0	0	0	4
8	10013	0	0	0	0	0	0	0	5
8	10014	0	0	0	0	0	0	0	6
8	10015	0	0	0	0	0	0	0	7
8	10016	0	0	0	0	0	0	0	8
10	60001	0	0	0	0	0	0	0	1
10	60004	0	0	0	0	0	0	0	2
10	60007	0	0	0	0	0	0	0	3
13	10027	0	0	0	0	0	0	0	1
13	10028	0	0	0	0	0	0	0	2
13	10029	0	0	0	0	0	0	0	3
13	10030	0	0	0	0	0	0	0	4
13	10031	0	0	0	0	0	0	0	5
13	10032	0	0	0	0	0	0	0	6
13	10033	0	0	0	0	0	0	0	7
13	10034	0	0	0	0	0	0	0	8
15	60001	0	0	0	0	0	0	0	1
15	60004	0	0	0	0	0	0	0	2
15	60007	0	0	0	0	0	0	0	3
21	10045	0	0	0	0	0	0	0	0
21	10046	0	0	0	0	0	0	0	0
21	10047	0	0	0	0	0	0	0	0
21	10048	0	0	0	0	0	0	0	0
21	10049	0	0	0	0	0	0	0	0
21	10050	0	0	0	0	0	0	0	0
21	10051	0	0	0	0	0	0	0	0
21	10052	0	0	0	0	0	0	0	0
23	60001	0	0	0	0	0	0	0	1
23	60004	0	0	0	0	0	0	0	2
23	60007	0	0	0	0	0	0	0	3
999	81031	0	0	0	0	0	0	0	1
999	80000	0	0	0	0	0	0	0	2
999	80007	0	0	0	0	0	0	0	3
999	80014	10	0	1	3	200	0	0	4
999	80021	0	0	2	0	0	51000	3	5
999	90100	0	0	0	0	0	0	0	6
999	90200	0	0	0	0	0	0	0	7
999	90300	0	0	0	2	10	0	0	8
999	90400	0	0	0	2	10	0	0	9
999	90500	0	0	0	2	10	0	0	10
999	90101	0	0	0	0	0	0	0	11
999	90102	0	0	0	0	0	0	0	12
999	90103	0	0	0	0	0	0	0	13
999	90104	0	0	0	0	0	0	0	14
999	90105	0	0	0	0	0	0	0	15
999	90106	0	0	0	0	0	0	0	16
999	90107	0	0	0	0	0	0	0	17
999	90108	0	0	0	0	0	0	0	18
999	90201	0	0	0	0	0	0	0	19
999	90202	0	0	0	0	0	0	0	20
999	90203	0	0	0	0	0	0	0	21
999	90204	0	0	0	0	0	0	0	22
999	90205	0	0	0	0	0	0	0	23
999	90206	0	0	0	0	0	0	0	24
999	90207	0	0	0	0	0	0	0	25
999	90208	0	0	0	0	0	0	0	26
999	90301	0	0	0	0	0	0	0	27
999	90302	0	0	0	0	0	0	0	28
999	90303	0	0	0	0	0	0	0	29
999	90304	0	0	0	0	0	0	0	30
999	90305	0	0	0	0	0	0	0	31
999	90306	0	0	0	0	0	0	0	32
999	90307	0	0	0	0	0	0	0	33
999	90308	0	0	0	0	0	0	0	34
