SkillID	Name	FuncType	LevelLimit	Class	AttackTarget	UseWay	SkillTime	AttackAnim	AttackAnimSpeed	AttackEffectDelay	AttackEffectID	AttackEffectBind	IsFollowBone	AttackEffectNum	AttackEffectLife	TranslateDelay	UseObject	BulletID	BulletSrcBind	BulletTgtBind	BulletRate	BulletVelocity	BulletFlyTrack	RegionEffectID	DefeatDelay	HitEffectID	HitEffectBind	HitEffectNum	AttackShockID	AttackShockDelay	HitShockID	ShowCutSceneAnimation
1	战士普攻1	1	10	1	1	1	1.33	7	1	0.5	900101	0	0	1	1.5	0.5	1	0	0	0	0	0	0	0	0	900402	2	1	0	0	900020	0
2	战士普攻2	1	10	1	1	1	1.83	9	1	0	0	0	0	1	1.5	1.07	1	0	0	0	0	0	0	0	0	900402	2	1	0	0	900020	0
3	弓手普攻1	1	10	3	1	2	1.8	7	1	0	900206	5	1	1	0.67	0.67	1	900206	5	2	1	50	0	0	0	900714	2	1	0	0	900020	0
4	弓手普攻2	1	10	3	1	2	2	8	1	0	900206	5	1	1	0.7	0.7	1	900206	5	2	1	45	0.06	0	0	900714	2	1	0	0	900020	0
5	法师普攻1	1	10	2	1	2	2	7	1	0	900110	0	0	1	1.5	0.5	1	900203	4	2	1	30	0	0	0	900407	2	1	0	0	900020	0
6	法师普攻2	1	10	2	1	3	1.8	8	1	0	0	0	0	1	1.5	0.7	1	0	0	0	1	30	0	900413	0.1	900412	2	1	0	0	900020	0
1001	饿虎扑食-虎	1	10	0	1	1	1.67	8	1	0	0	0	0	0	0	0.6	1	0	0	0	0	0	0	0	0	900105	0	1	0	0	900020	0
1011	爪击-熊	1	10	0	1	1	1.07	7	1	0	0	0	0	0	0	0.4	1	0	0	0	0	0	0	0	0	900403	2	1	0	0	900020	0
1021	锤击-熔岩怪	1	10	0	1	1	1.34	7	1	0.4	900101	0	0	1	1.5	0.5	1	0	0	0	0	0	0	0	0	900408	2	1	0	0	900020	0
1031	砍-猛壮士	1	10	0	1	1	1.33	7	1	0.3	900101	0	0	1	1	0.5	1	0	0	0	0	0	0	0	0	900402	2	1	0	0	900020	0
1041	砍-山城土匪	1	10	0	1	1	1.83	7	1	1	900101	0	0	0	0	1.1	1	0	0	0	0	0	0	0	0	900402	2	1	0	0	900020	0
1042	砍-山城土匪	1	10	0	1	1	1.67	8	1	1	900101	0	0	0	0	1.1	1	0	0	0	0	0	0	0	0	900402	2	1	0	0	900020	0
1051	爪击-冥妖	1	10	0	1	1	1.2	7	1	0	0	4	0	0	0	0.5	1	0	0	0	0	0	0	0	0	900403	2	1	0	0	900020	0
1061	舞棍-南山大王	1	10	0	1	1	1.27	7	1	0	0	0	0	1	0	0.5	1	0	0	0	0	0	0	0	0	900401	2	1	0	0	900020	0
1071	刺-山贼	1	10	0	1	1	1	7	1	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	900714	2	1	0	0	900020	0
1081	毒弹-鬼面人	1	10	0	1	2	1.5	7	1	0.1	900202	5	1	1	0.7	0.5	1	900202	5	2	1	35	0	0	0	900416	2	1	0	0	900020	0
1091	爪击-蜘蛛精	1	10	0	1	1	1.07	7	1	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	900403	2	1	0	0	900020	0
1101	风刃-白鹿精	1	10	0	1	2	1.5	7	1	0	0	0	0	1	0.6	0.5	1	900204	4	2	1	35	0	0	0	900716	2	1	0	0	900020	0
1102	治愈术-白鹿精	2	10	0	1	3	1.5	7	1	0.6	900115	0	0	1	1.5	0.83	1	0	0	0	0	0	0	0	0	900418	0	1	0	0	900020	0
1111	爪击-蜥蜴精	1	10	0	1	1	1.5	7	1	0	0	0	0	0	0	0.9	1	0	0	0	0	0	0	0	0	900403	2	1	0	0	900020	0
1121	砍-旱魃	1	10	0	1	1	1.07	7	1	0.5	900101	0	0	1	1.5	0.5	1	0	0	0	0	0	0	0	0	900402	0	1	0	0	900020	0
1131	溶尸弹-百眼魔君	1	10	0	1	2	1.07	7	1	0	900202	5	1	1	1	0.5	1	900202	5	2	1	30	0	0	0	900416	2	1	0	0	900020	0
1141	蜜针-玄蜂	1	10	0	1	1	1.07	7	1	0	0	0	0	0	0	0.46	1	0	5	2	0	0	0	0	0	900714	2	1	0	0	900020	0
1151	爪击-土蝠	1	10	0	1	1	1	7	1	0	0	0	0	0	0	0.56	1	0	5	2	0	0	0	0	0	900403	2	1	0	0	900020	0
1161	爪击-寒狼	1	10	0	1	1	1.17	7	1	0	0	0	0	0	0	0.66	1	0	5	2	0	0	0	0	0	900403	2	1	0	0	900020	0
1171	锤击-金牛	1	10	0	1	1	1.07	7	1	0.5	900101	0	0	0	0	0.5	1	0	5	2	0	0	0	0	0	900714	2	1	0	0	900020	0
1181	追风-鬼骑士	1	10	0	1	2	1.5	7	1	0.9	900101	0	0	0	0	0.66	1	900204	0	0	1	35	0	0	0	900402	2	1	0	0	900020	0
1191	冲撞-野猪	1	10	0	1	1	1.2	7	1	0	0	0	0	0	0	0.3	1	0	5	2	0	0	0	0	0	900714	2	1	0	0	900020	0
1201	舞枪-赤蟒精	1	10	0	1	1	1.2	7	1	0.5	900106	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	900714	2	1	0	0	900020	0
1211	突袭-铁甲蝠	1	10	0	1	1	1.2	7	1	0	0	0	0	0	0	0.6	1	0	0	0	0	0	0	0	0	900403	2	1	0	0	900020	0
1221	风刃-危月燕	1	10	0	1	2	1.8	7	1	0	0	0	0	0	0	0.4	1	900204	0	0	1	35	0	0	0	900716	2	1	0	0	900020	0
1222	治愈术-危月燕	2	10	0	1	3	1.5	7	1	0	900115	0	0	1	1.5	0.6	1	0	0	0	0	0	0	0	0	900418	0	1	0	0	900020	0
1231	攻击1-火猪	1	10	0	1	1	1.2	7	1	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	900402	2	1	0	0	900020	0
1241	火焰冲击-火麒麟	1	10	0	1	3	3	7	1	0.3	900109	0	0	0	0	0.4	1	0	0	0	0	0	0	900409	0.6	900408	0	1	0	0	900020	0
1251	拍击-水貐	1	10	0	1	1	1.2	7	1	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	900403	2	1	0	0	900020	0
1252	冰弹-水貐	1	10	0	2	3	2	8	1	1	900115	0	0	0	0	1.5	1	0	0	0	0	0	0	900433	0	900430	2	1	0	0	900020	0
