SkillID	SkillEffectType	SkillLevel	LearnLevel	Kill	UseRegion	TextLearn	TextEffect	TextUpgrade	ReviveRate	SuckBloodRate	SummonID	MoraleValue	CRIRate	CRIHPRate	AttackCount	AttackTime_3_0	AttackEffect_3_0	AttackDamageRate_3_0	AttackEffectBind_3_0	AttackTime_3_1	AttackEffect_3_1	AttackDamageRate_3_1	AttackEffectBind_3_1	AttackTime_3_2	AttackEffect_3_2	AttackDamageRate_3_2	AttackEffectBind_3_2
1	1	1	1	0	0	学习技能1-1	基础攻击力100%效果	基础攻击力100%效果+20点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
1	1	2	1	0	0	学习技能1-1	基础攻击力100%效果+20点附加伤害	基础攻击力100%效果+40点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
1	1	3	1	0	0	学习技能1-1	基础攻击力100%效果+40点附加伤害	基础攻击力100%效果+60点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
1	1	4	1	0	0	学习技能1-1	基础攻击力100%效果+60点附加伤害	基础攻击力100%效果+80点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
1	1	5	1	0	0	学习技能1-1	基础攻击力100%效果+80点附加伤害	基础攻击力100%效果+100点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
1	1	6	1	0	0	学习技能1-1	基础攻击力100%效果+100点附加伤害	基础攻击力100%效果+120点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
1	1	7	1	0	0	学习技能1-1	基础攻击力100%效果+120点附加伤害	基础攻击力100%效果+150点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
1	1	8	1	0	0	学习技能1-1	基础攻击力100%效果+150点附加伤害	基础攻击力100%效果+200点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
1	1	9	1	0	0	学习技能1-1	基础攻击力100%效果+200点附加伤害	基础攻击力100%效果+280点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
1	1	10	1	0	0	学习技能1-1	基础攻击力100%效果+280点附加伤害	基础攻击力100%效果+370点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
2	1	1	1	0	0	学习技能1-1	基础攻击力100%效果	基础攻击力100%效果+20点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
2	1	2	1	0	0	学习技能1-1	基础攻击力100%效果+20点附加伤害	基础攻击力100%效果+40点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
2	1	3	1	0	0	学习技能1-1	基础攻击力100%效果+40点附加伤害	基础攻击力100%效果+60点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
2	1	4	1	0	0	学习技能1-1	基础攻击力100%效果+60点附加伤害	基础攻击力100%效果+80点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
2	1	5	1	0	0	学习技能1-1	基础攻击力100%效果+80点附加伤害	基础攻击力100%效果+100点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
2	1	6	1	0	0	学习技能1-1	基础攻击力100%效果+100点附加伤害	基础攻击力100%效果+120点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
2	1	7	1	0	0	学习技能1-1	基础攻击力100%效果+120点附加伤害	基础攻击力100%效果+150点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
2	1	8	1	0	0	学习技能1-1	基础攻击力100%效果+150点附加伤害	基础攻击力100%效果+200点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
2	1	9	1	0	0	学习技能1-1	基础攻击力100%效果+200点附加伤害	基础攻击力100%效果+280点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
2	1	10	1	0	0	学习技能1-1	基础攻击力100%效果+280点附加伤害	基础攻击力100%效果+370点附加伤害	0.3	0.3	990	30	5000	9000	1	0.1	100	3000	0	0.3	200	3000	0	0.3	300	4000	0
