Class	SkillID	SkillLevel	PreID	PreLevel	PosX	PosY	ClassLevel	SkillPoint	FieldID	StarSprite	NotActiveSprite
1	10001	1	0	0	12.7	86.8	1	1	1	1003.11320004	11100166
1	10001	2	0	0	12.7	86.8	1	2	1	1003.11320004	11100166
1	10001	3	0	0	12.7	86.8	1	3	1	1003.11320004	11100166
1	10001	4	0	0	12.7	86.8	1	4	1	1003.11320004	11100166
1	10001	5	0	0	12.7	86.8	1	5	1	1003.11320004	11100166
1	10001	6	0	0	12.7	86.8	1	6	1	1003.11320004	11100166
1	10001	7	0	0	12.7	86.8	1	7	1	1003.11320004	11100166
1	10001	8	0	0	12.7	86.8	1	8	1	1003.11320004	11100166
1	10001	9	0	0	12.7	86.8	1	9	1	1003.11320004	11100166
1	10001	10	0	0	12.7	86.8	1	10	1	1003.11320004	11100166
1	10002	1	10001	1	24.1	55.6	1	1	2	1003.11100003	11100102
1	10002	2	10001	1	24.1	55.6	1	2	2	1003.11100003	11100102
1	10002	3	10001	1	24.1	55.6	1	3	2	1003.11100003	11100102
1	10002	4	10001	1	24.1	55.6	1	4	2	1003.11100003	11100102
1	10002	5	10001	1	24.1	55.6	1	5	2	1003.11100003	11100102
1	10002	6	10001	1	24.1	55.6	1	6	2	1003.11100003	11100102
1	10002	7	10001	1	24.1	55.6	1	7	2	1003.11100003	11100102
1	10002	8	10001	1	24.1	55.6	1	8	2	1003.11100003	11100102
1	10002	9	10001	1	24.1	55.6	1	9	2	1003.11100003	11100102
1	10002	10	10001	1	24.1	55.6	1	10	2	1003.11100003	11100102
1	10003	1	10002	1	56.6	52.9	1	1	3	1003.11100001	11100100
1	10003	2	10002	1	56.6	52.9	1	2	3	1003.11100001	11100100
1	10003	3	10002	1	56.6	52.9	1	3	3	1003.11100001	11100100
1	10003	4	10002	1	56.6	52.9	1	4	3	1003.11100001	11100100
1	10003	5	10002	1	56.6	52.9	1	5	3	1003.11100001	11100100
1	10003	6	10002	1	56.6	52.9	1	6	3	1003.11100001	11100100
1	10003	7	10002	1	56.6	52.9	1	7	3	1003.11100001	11100100
1	10003	8	10002	1	56.6	52.9	1	8	3	1003.11100001	11100100
1	10003	9	10002	1	56.6	52.9	1	9	3	1003.11100001	11100100
1	10003	10	10002	1	56.6	52.9	1	10	3	1003.11100001	11100100
1	10004	1	10003	1	47.9	24.9	1	1	4	1003.11100004	11100103
1	10004	2	10003	1	47.9	24.9	1	2	4	1003.11100004	11100103
1	10004	3	10003	1	47.9	24.9	1	3	4	1003.11100004	11100103
1	10004	4	10003	1	47.9	24.9	1	4	4	1003.11100004	11100103
1	10004	5	10003	1	47.9	24.9	1	5	4	1003.11100004	11100103
1	10004	6	10003	1	47.9	24.9	1	6	4	1003.11100004	11100103
1	10004	7	10003	1	47.9	24.9	1	7	4	1003.11100004	11100103
1	10004	8	10003	1	47.9	24.9	1	8	4	1003.11100004	11100103
1	10004	9	10003	1	47.9	24.9	1	9	4	1003.11100004	11100103
1	10004	10	10003	1	47.9	24.9	1	10	4	1003.11100004	11100103
1	10005	1	10004	1	72.4	21.3	1	1	5	1003.11120015	11100151
1	10005	2	10004	1	72.4	21.3	1	2	5	1003.11120015	11100151
1	10005	3	10004	1	72.4	21.3	1	3	5	1003.11120015	11100151
1	10005	4	10004	1	72.4	21.3	1	4	5	1003.11120015	11100151
1	10005	5	10004	1	72.4	21.3	1	5	5	1003.11120015	11100151
1	10005	6	10004	1	72.4	21.3	1	6	5	1003.11120015	11100151
1	10005	7	10004	1	72.4	21.3	1	7	5	1003.11120015	11100151
1	10005	8	10004	1	72.4	21.3	1	8	5	1003.11120015	11100151
1	10005	9	10004	1	72.4	21.3	1	9	5	1003.11120015	11100151
1	10005	10	10004	1	81.3	46.3	1	10	5	1003.11120015	11100151
1	10006	1	10005	1	81.3	46.3	1	1	6	1003.11100010	11100109
1	10006	2	10005	1	81.3	46.3	1	2	6	1003.11100010	11100109
1	10006	3	10005	1	81.3	46.3	1	3	6	1003.11100010	11100109
1	10006	4	10005	1	81.3	46.3	1	4	6	1003.11100010	11100109
1	10006	5	10005	1	81.3	46.3	1	5	6	1003.11100010	11100109
1	10006	6	10005	1	81.3	46.3	1	6	6	1003.11100010	11100109
1	10006	7	10005	1	81.3	46.3	1	7	6	1003.11100010	11100109
1	10006	8	10005	1	81.3	46.3	1	8	6	1003.11100010	11100109
1	10006	9	10005	1	81.3	46.3	1	9	6	1003.11100010	11100109
1	10006	10	10005	1	81.3	46.3	1	10	6	1003.11100010	11100109
1	10007	1	10006	1	87.9	82.1	1	1	7	1003.11120006	11100145
1	10007	2	10006	1	87.9	82.1	1	2	7	1003.11120006	11100145
1	10007	3	10006	1	87.9	82.1	1	3	7	1003.11120006	11100145
1	10007	4	10006	1	87.9	82.1	1	4	7	1003.11120006	11100145
1	10007	5	10006	1	87.9	82.1	1	5	7	1003.11120006	11100145
1	10007	6	10006	1	87.9	82.1	1	6	7	1003.11120006	11100145
1	10007	7	10006	1	87.9	82.1	1	7	7	1003.11120006	11100145
1	10007	8	10006	1	87.9	82.1	1	8	7	1003.11120006	11100145
1	10007	9	10006	1	87.9	82.1	1	9	7	1003.11120006	11100145
1	10007	10	10006	1	87.9	82.1	1	10	7	1003.11120006	11100145
1	60001	1	0	0	0	100	1	0	0	1003.11120006	11100145
1	11001	1	10001	1	24.9	95.4	1	1	0	1003.11120001	110003
1	11001	2	10001	1	24.9	95.4	1	2	0	1003.11120001	110003
