VipLvl	Recharge	Money	RealMoney	Item1Id	Item1Count	Item2Id	Item2Count	Item3Id	Item3Count	Item4Id	Item4Count	Item5Id	Item5Count	Item6Id	Item6Count
1	100	100	10	10000	1	40001	1	51000	1	80000	1	130001	1	90100	1
2	200	200	20	10001	1	40002	1	51001	2	80000	2	130002	1	90101	1
3	300	300	30	10002	1	40003	1	51002	3	80000	3	130003	1	90102	1
4	400	400	40	10003	1	40004	1	51003	4	80000	4	130004	1	90103	1
5	500	500	50	10004	1	40005	1	51003	5	80000	5	130005	1	90104	1
6	600	600	60	10005	1	40005	1	51003	6	80000	6	130006	1	90105	1
7	700	700	70	10006	1	40005	1	51003	7	80000	7	130007	1	90106	1
8	800	800	80	10007	1	40005	1	51003	8	80000	8	130008	1	90107	1
9	900	900	90	10008	1	40005	1	51003	9	80000	9	130009	1	90108	1
10	1000	1000	100	10009	1	40005	1	51003	10	80000	10	130010	1	90109	1
11	1100	1100	110	10010	1	40005	1	51003	11	80000	11	130011	1	90110	1
12	1200	1200	120	10011	1	40005	1	51003	12	80000	12	130011	1	90111	1
