VipLvl	BuyTiliCount	BuyGivefowCount	BuyYaoqCount	BuyShhjKillCount	BuyZhylCount	BuyXdhCombatCount	FreeXdhCombatCount	BuyAucPutawayCount	BuyShhCombatCount	BuyJlCount	FreeShhCombatCount	BeSkipCombatAni	SitExpMul	SignMoneyMul	BeUseLd	FriMax	BlaMax
0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	20	20
1	2	2	2	2	2	2	2	2	2	2	2	10	1	2	0	21	21
2	3	3	3	3	3	3	3	3	3	3	3	9	2	3	0	22	22
3	4	4	4	4	4	4	4	4	4	4	4	8	3	4	0	23	23
4	5	5	5	5	5	5	5	5	5	5	5	7	4	5	1	24	24
5	6	6	6	6	6	6	6	6	6	6	6	6	5	6	1	25	25
6	7	7	7	7	7	7	7	7	7	7	7	5	6	7	1	26	26
7	8	8	8	8	8	8	8	8	8	8	8	4	7	8	1	27	27
8	9	9	9	9	9	9	9	9	9	9	9	3	8	9	1	28	28
9	10	10	10	10	10	10	10	10	10	10	10	2	9	10	1	29	29
10	11	11	11	11	11	11	11	11	11	11	11	1	1	11	1	30	30
11	12	12	12	12	12	12	12	12	12	12	12	1	1.1	12	1	31	31
12	13	13	13	13	13	13	13	13	13	13	13	1	1.2	13	1	32	32
