RankID	RankIDLimit	GameMoney	Honour	ItemID	ItemCount	TitleID
1	1	2000000	10000	0	0	26
2	2	1600000	5000	0	0	25
3	3	1500000	4000	0	0	24
4	4	1400000	3000	0	0	23
5	5	1300000	2800	0	0	23
6	6	1200000	2600	0	0	23
7	7	1150000	2400	0	0	23
8	8	1100000	2200	0	0	23
9	9	1050000	2100	0	0	23
10	10	1000000	2000	0	0	23
11	11	880000	1950	0	0	22
12	12	860000	1900	0	0	22
13	13	840000	1850	0	0	22
14	14	820000	1800	0	0	22
15	15	800000	1750	0	0	22
16	16	780000	1700	0	0	22
17	17	760000	1650	0	0	22
18	18	740000	1600	0	0	22
19	19	720000	1550	0	0	22
20	20	700000	1500	0	0	22
21	21	680000	1450	0	0	22
22	22	660000	1400	0	0	22
23	23	640000	1350	0	0	22
24	24	620000	1300	0	0	22
25	25	600000	1250	0	0	22
26	26	580000	1200	0	0	22
27	27	560000	1150	0	0	22
28	28	540000	1100	0	0	22
29	29	520000	1050	0	0	22
30	30	500000	1000	0	0	22
31	31	400000	975	0	0	21
32	32	390000	950	0	0	21
33	33	380000	925	0	0	21
34	34	370000	900	0	0	21
35	35	360000	875	0	0	21
36	36	350000	850	0	0	21
37	37	340000	825	0	0	21
38	38	330000	800	0	0	21
39	39	320000	775	0	0	21
40	40	310000	750	0	0	21
41	41	300000	725	0	0	21
42	42	290000	700	0	0	21
43	43	280000	675	0	0	21
44	44	270000	650	0	0	21
45	45	260000	625	0	0	21
46	46	250000	600	0	0	21
47	47	240000	575	0	0	21
48	48	230000	550	0	0	21
49	49	220000	525	0	0	21
50	50	210000	500	0	0	21
51	60	200000	400	0	0	21
61	70	180000	380	0	0	21
71	80	160000	360	0	0	21
81	90	140000	340	0	0	21
91	100	120000	320	0	0	21
101	150	100000	300	0	0	0
151	200	80000	280	0	0	0
201	250	60000	260	0	0	0
251	300	40000	250	0	0	0
301	500	30000	200	0	0	0
501	1000	25000	150	0	0	0
1001	999999	20000	100	0	0	0
