Index	Name	NameColor	SceneID	MonsterModel	Reputation	Money	MinLevel	MaxLevel	AtlasID	SpriteID	MonID_9_0	MonID_9_1	MonID_9_2	MonID_9_3	MonID_9_4	MonID_9_5	MonID_9_6	MonID_9_7	MonID_9_8
1	赤冠蛇	1	101688	73172	100	1000	10	21	0	11008014	0	0	0	2101002	0	0	2101002	0	2101002
2	帝女蛛	1	101688	73042	100	1000	10	21	0	11008014	2101004	0	2101004	0	2101004	0	0	0	0
3	土蝠	1	101688	73062	100	1000	10	21	0	11008014	0	0	0	2101005	2101005	2101005	0	0	0
4	沼泽火蜥	1	101688	73048	100	1000	10	21	0	11008014	0	2101006	0	2101006	2101006	0	0	0	0
5	纹蛇	1	101688	73170	100	1000	10	21	0	11008014	0	0	2101101	0	0	0	2101101	0	2101101
6	翼赤蝠	2	101688	73065	100	1000	10	21	0	11008014	0	2101202	0	2101202	2101202	0	0	0	0
7	蟒精	2	101688	73080	100	1000	10	21	0	11008014	0	0	0	2101301	2101301	2101301	0	0	0
8	毒蟾精	2	101688	73177	100	1000	10	21	0	11008014	0	2101401	0	0	2101401	0	0	2101401	0
9	护殿神蜥	3	101688	73050	100	1000	10	21	0	11008014	0	0	2101502	2101502	2101502	0	0	0	0
10	铁颚勇士	3	101688	73049	100	1000	10	21	0	11008014	2101503	0	0	2101503	0	0	2101503	0	0
11	水将军	3	101688	73049	100	1000	10	21	0	11008014	0	0	0	2101504	2101504	2101504	0	0	0
12	蓝龙绯羽	3	101688	73233	100	1000	10	21	0	11008014	0	0	2101603	0	0	0	2101603	2101603	0
13	异兽蓝貐	3	101688	73098	100	1000	10	21	0	11008014	2101702	0	0	2101702	0	0	0	0	2101702
14	貐王	4	101688	73099	100	1000	10	21	0	11008014	0	0	2101703	0	2101703	2101703	0	0	0
15	白圣王	4	101688	73139	100	1000	10	21	0	11008014	0	0	0	0	2101803	0	2101803	2101803	0
16	角王	4	101688	73046	100	1000	10	21	0	11008014	0	2101903	0	2101903	2101903	0	0	0	0
17	豹灵	5	101688	73031	100	1000	10	21	0	11008014	0	0	0	0	2101901	0	2101901	2101901	0
18	鹿灵	5	101688	73046	100	1000	10	21	0	11008014	0	2101902	2101902	0	0	2101902	0	0	0
19	灵虎	5	101688	73138	100	1000	10	21	0	11008014	2101801	2101801	2101801	0	0	0	0	0	0
20	虎英	5	101688	73139	100	1000	10	21	1	11008014	0	2101802	0	0	0	2101802	2101802	0	0
